spent_weapon,spent_vitality,spent_spirit,spent_total,spike_weapon,spike_vitality,spike_spirit,ratio_weapon,ratio_vitality,ratio_spirit,skill_0_lvl,skill_1_lvl,skill_2_lvl,ult_lvl,early_ult,_items_sequence,_ability_sequence,cluster
2400,15200,10400,28000,0,1,1,0.0857142857142857,0.5428571428571428,0.3714285714285714,4,3,1,4,1,"[""1342610602"", ""3403085434"", ""3357231760"", ""1371725689"", ""3970837787"", ""3399065363"", ""343572757"", ""1254091416"", ""968099481""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]",2
9600,7200,6400,23200,1,1,1,0.4137931034482758,0.3103448275862069,0.2758620689655172,4,4,4,4,1,"[""2095565695"", ""3403085434"", ""1342610602"", ""1009965641"", ""1932939246"", ""3399065363"", ""3270001687"", ""2603935618"", ""3970837787"", ""3005970438""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]",5
6400,1600,2400,10400,1,0,0,0.6153846153846154,0.1538461538461538,0.2307692307692307,4,4,4,4,1,"[""1548066885"", ""395867183"", ""1009965641"", ""2356412290"", ""3403085434"", ""3970837787"", ""968099481"", ""1976391348""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]",1
5600,10400,1600,17600,1,1,0,0.3181818181818182,0.5909090909090909,0.0909090909090909,4,3,4,4,1,"[""1009965641"", ""1798666702"", ""3403085434"", ""3399065363"", ""3357231760"", ""2603935618"", ""3361075077"", ""968099481"", ""754480263""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]",0
7200,6400,2400,16000,1,1,0,0.45,0.4,0.15,4,4,4,4,1,"[""1009965641"", ""98582110"", ""3403085434"", ""2108215830"", ""3357231760"", ""1813726886"", ""1998374645""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]",0
12800,4800,7200,24800,1,1,1,0.5161290322580645,0.1935483870967742,0.2903225806451613,4,4,3,4,0,"[""709540378"", ""2108215830"", ""1770441818"", ""1932939246"", ""3403085434"", ""3074274290"", ""2566692615"", ""876563814"", ""1193964439"", ""395944548"", ""968099481""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]",5
2400,1600,4000,8000,0,0,0,0.3,0.2,0.5,4,4,4,4,1,"[""395867183"", ""1009965641"", ""2447176615"", ""1998374645"", ""2717651715""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]",2
10400,7200,4800,22400,1,1,1,0.4642857142857143,0.3214285714285714,0.2142857142857142,4,4,3,4,1,"[""1009965641"", ""3403085434"", ""339443430"", ""395867183"", ""3074274290"", ""2059712766"", ""1804594021"", ""3399065363"", ""1193964439"", ""968099481"", ""754480263""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]",5
9600,8000,16000,33600,1,1,1,0.2857142857142857,0.238095238095238,0.4761904761904761,4,3,4,4,0,"[""395867183"", ""709540378"", ""3696726732"", ""3403085434"", ""3357231760"", ""2447176615"", ""2717651715"", ""2417568017"", ""1254091416"", ""395944548""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]",5
8000,7200,8800,24000,1,1,1,0.3333333333333333,0.3,0.3666666666666666,4,4,4,4,0,"[""3403085434"", ""1342610602"", ""1009965641"", ""1932939246"", ""395867183"", ""3399065363"", ""3361811174"", ""1193964439"", ""2061878743"", ""1998374645"", ""2081037738""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]",5
10400,6400,12000,28800,1,1,1,0.3611111111111111,0.2222222222222222,0.4166666666666667,4,1,4,3,1,"[""393974127"", ""1798666702"", ""1009965641"", ""709540378"", ""3403085434"", ""2163598980"", ""3731635960"", ""915014646"", ""1998374645"", ""7409189"", ""3261353684""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]",5
9600,1600,11200,22400,1,0,1,0.4285714285714285,0.0714285714285714,0.5,4,4,4,4,0,"[""3403085434"", ""395867183"", ""1798666702"", ""3294954488"", ""3074274290"", ""395944548"", ""915014646"", ""1976391348""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]",3
5600,3200,16000,24800,1,0,1,0.2258064516129032,0.1290322580645161,0.6451612903225806,4,4,4,4,1,"[""3403085434"", ""1009965641"", ""1932939246"", ""1378931225"", ""677738769"", ""2121044373"", ""2417568017""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]",3
7200,1600,7200,16000,1,0,1,0.45,0.1,0.45,3,4,4,4,0,"[""709540378"", ""3403085434"", ""1009965641"", ""393974127"", ""2603935618"", ""2947183272"", ""2717651715"", ""754480263""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]",3
7200,7200,6400,20800,1,1,1,0.3461538461538461,0.3461538461538461,0.3076923076923077,4,3,4,4,0,"[""1798666702"", ""1009965641"", ""3403085434"", ""98582110"", ""3028234315"", ""4204808176"", ""2519598785""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]",5
10400,10400,1600,22400,1,1,0,0.4642857142857143,0.4642857142857143,0.0714285714285714,4,4,4,4,1,"[""3403085434"", ""1932939246"", ""1009965641"", ""2108215830"", ""1144549437"", ""3399065363"", ""2447176615"", ""3970837787"", ""1371725689"", ""2951612397""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]",0
12000,1600,3200,16800,1,0,0,0.7142857142857143,0.0952380952380952,0.1904761904761904,4,4,4,4,0,"[""1932939246"", ""3403085434"", ""1009965641"", ""2226497419"", ""3970837787"", ""380806748"", ""7409189""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]",1
13600,8800,14400,36800,1,1,1,0.3695652173913043,0.2391304347826087,0.391304347826087,4,4,4,4,0,"[""1009965641"", ""2226497419"", ""709540378"", ""1798666702"", ""3140772621"", ""2163598980"", ""3399065363"", ""3361075077"", ""2417568017"", ""343572757"", ""84321454""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]",5
4000,4800,5600,14400,0,1,1,0.2777777777777778,0.3333333333333333,0.3888888888888889,3,2,3,4,1,"[""1009965641"", ""1798666702"", ""3270001687"", ""3970837787"", ""3261353684"", ""7409189"", ""1998374645""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]",2
4800,1600,6400,12800,1,0,1,0.375,0.125,0.5,4,3,4,4,0,"[""709540378"", ""1009965641"", ""3862866912"", ""3970837787"", ""2717651715"", ""1976391348"", ""7409189""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]",3
5600,8800,8800,23200,1,1,1,0.2413793103448276,0.3793103448275862,0.3793103448275862,4,4,4,4,0,"[""3403085434"", ""1009965641"", ""1932939246"", ""3270001687"", ""3585132399"", ""2829638276"", ""2603935618"", ""2121044373"", ""2951612397"", ""1439347412"", ""395944548""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]",5
6400,1600,5600,13600,1,0,1,0.4705882352941176,0.1176470588235294,0.4117647058823529,4,4,4,4,1,"[""3403085434"", ""709540378"", ""395867183"", ""1710079648"", ""3399065363"", ""754480263"", ""380806748"", ""3261353684""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]",3
4000,8000,1600,13600,0,1,0,0.2941176470588235,0.5882352941176471,0.1176470588235294,3,1,4,4,1,"[""1009965641"", ""709540378"", ""876563814"", ""1250307611"", ""7409189""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]",0
