spent_weapon,spent_vitality,spent_spirit,spent_total,spike_weapon,spike_vitality,spike_spirit,ratio_weapon,ratio_vitality,ratio_spirit,skill_0_lvl,skill_1_lvl,skill_2_lvl,ult_lvl,early_ult,_items_sequence,_ability_sequence,cluster
4000,9600,9600,23200,0,1,1,0.1724137931034483,0.4137931034482758,0.4137931034482758,4,4,4,4,0,"[""1548066885"", ""2463960640"", ""3399065363"", ""865846625"", ""4139877411"", ""3970837787"", ""493591231"", ""1150006784"", ""1102081447""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",5
8800,10400,7200,26400,1,1,1,0.3333333333333333,0.3939393939393939,0.2727272727272727,4,4,4,4,1,"[""2108215830"", ""2407033488"", ""1763073141"", ""1009965641"", ""393974127"", ""3357231760"", ""3970837787"", ""2447176615"", ""4139877411"", ""3261353684"", ""2951612397"", ""754480263"", ""1150006784""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",1
4800,1600,800,7200,1,0,0,0.6666666666666666,0.2222222222222222,0.1111111111111111,4,4,4,4,1,"[""2356412290"", ""2407033488"", ""3862866912"", ""1009965641"", ""2447176615"", ""754480263""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",2
5600,9600,4800,20000,1,1,1,0.28,0.48,0.24,4,4,2,4,1,"[""1932939246"", ""1009965641"", ""2356412290"", ""3970837787"", ""3399065363"", ""2037039379"", ""3633614685"", ""1102081447"", ""787198704""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",1
5600,800,3200,9600,1,0,0,0.5833333333333334,0.0833333333333333,0.3333333333333333,4,4,4,4,1,"[""1009965641"", ""381961617"", ""2407033488"", ""2356412290"", ""3399065363"", ""1150006784"", ""1813726886""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",2
11200,4800,5600,21600,1,1,1,0.5185185185185185,0.2222222222222222,0.2592592592592592,4,1,3,4,1,"[""811521119"", ""2356412290"", ""1770441818"", ""2108215830"", ""2407033488"", ""2829638276"", ""1710079648"", ""334300056"", ""1102081447"", ""754480263"", ""3261353684""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",1
13600,1600,8000,23200,1,0,1,0.5862068965517241,0.0689655172413793,0.3448275862068966,4,4,4,4,0,"[""1009965641"", ""2226497419"", ""2108215830"", ""2407033488"", ""2356412290"", ""2447176615"", ""630839635"", ""7409189""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",0
13600,2400,3200,19200,1,0,0,0.7083333333333334,0.125,0.1666666666666666,4,4,4,4,0,"[""2407033488"", ""1763073141"", ""1009965641"", ""2108215830"", ""2480592370"", ""2447176615"", ""1710079648"", ""2081037738"", ""1102081447""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",2
6400,1600,9600,17600,1,0,1,0.3636363636363636,0.0909090909090909,0.5454545454545454,4,4,4,4,0,"[""3791587546"", ""3403085434"", ""2356412290"", ""1644605047"", ""2951612397"", ""2717651715"", ""1150006784"", ""787198704""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",0
15200,2400,6400,24000,1,0,1,0.6333333333333333,0.1,0.2666666666666666,4,4,4,4,1,"[""3294954488"", ""1763073141"", ""1009965641"", ""2108215830"", ""710436191"", ""3970837787"", ""3399065363"", ""1102081447"", ""2081037738"", ""1925087134"", ""380806748""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",0
16800,1600,2400,20800,1,0,0,0.8076923076923077,0.0769230769230769,0.1153846153846153,4,4,4,3,0,"[""2095565695"", ""1009965641"", ""811521119"", ""710436191"", ""2108215830"", ""1047818222"", ""1925087134"", ""968099481""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",2
11200,2400,3200,16800,1,0,0,0.6666666666666666,0.1428571428571428,0.1904761904761904,3,2,4,4,0,"[""393974127"", ""3696726732"", ""2064029594"", ""2407033488"", ""709540378"", ""2603935618"", ""4139877411"", ""1925087134"", ""1150006784""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",2
8000,7200,4800,20000,1,1,1,0.4,0.36,0.24,4,4,4,3,0,"[""2108215830"", ""1548066885"", ""393974127"", ""2407033488"", ""3077079169"", ""951866250"", ""2829638276"", ""2081037738"", ""787198704""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",1
4800,10400,15200,30400,1,1,1,0.1578947368421052,0.3421052631578947,0.5,4,2,4,4,1,"[""2407033488"", ""709540378"", ""1427630806"", ""334300056"", ""2829638276"", ""1102081447"", ""3005970438"", ""915014646"", ""3776945997""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",1
6400,5600,3200,15200,1,1,0,0.4210526315789473,0.3684210526315789,0.2105263157894736,3,2,4,4,1,"[""1009965641"", ""3403085434"", ""668299740"", ""2108215830"", ""4139877411"", ""3731635960"", ""3970837787"", ""1193964439""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",3
18400,6400,20800,45600,1,1,1,0.4035087719298245,0.1403508771929824,0.4561403508771929,4,4,3,1,0,"[""2407033488"", ""2226497419"", ""1009965641"", ""710436191"", ""1414319208"", ""1427630806"", ""493591231"", ""3005970438"", ""677738769"", ""1925087134""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",1
2400,800,8000,11200,0,0,1,0.2142857142857142,0.0714285714285714,0.7142857142857143,4,1,3,4,1,"[""1009965641"", ""2407033488"", ""4139877411"", ""493591231"", ""7409189""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",5
9600,4800,8800,23200,1,1,1,0.4137931034482758,0.2068965517241379,0.3793103448275862,4,4,3,4,1,"[""811521119"", ""2356412290"", ""2108215830"", ""2407033488"", ""1235347618"", ""3970837787"", ""3399065363"", ""3633614685"", ""493591231"", ""3776945997"", ""1102081447""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",1
9600,1600,4800,16000,1,0,1,0.6,0.1,0.3,4,4,4,4,0,"[""2226497419"", ""3696726732"", ""1672893796"", ""4139877411"", ""1193964439"", ""2081037738""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",0
4000,1600,10400,16000,0,0,1,0.25,0.1,0.65,4,4,4,4,1,"[""811521119"", ""1548066885"", ""3074274290"", ""3776945997"", ""3005970438"", ""1150006784"", ""2951612397""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",5
7200,800,8000,16000,1,0,1,0.45,0.05,0.5,4,4,4,4,1,"[""2407033488"", ""1009965641"", ""2108215830"", ""2356412290"", ""4139877411"", ""1102081447"", ""2081037738"", ""3261353684"", ""1150006784""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",0
6400,3200,10400,20000,1,0,1,0.32,0.16,0.52,4,3,4,4,0,"[""1009965641"", ""2407033488"", ""811521119"", ""668299740"", ""1047818222"", ""3970837787"", ""787198704"", ""493591231"", ""3776945997""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",0
4000,9600,10400,24000,0,1,1,0.1666666666666666,0.4,0.4333333333333333,4,4,4,4,1,"[""1009965641"", ""811521119"", ""334300056"", ""1427630806"", ""1925087134"", ""2462046703"", ""1102081447"", ""915014646""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",5
4800,14400,1600,20800,1,1,0,0.2307692307692307,0.6923076923076923,0.0769230769230769,4,4,4,4,1,"[""2678489038"", ""2407033488"", ""1055679805"", ""1427630806"", ""1644605047"", ""1925087134""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",4
10400,1600,800,12800,1,0,0,0.8125,0.125,0.0625,4,4,4,4,0,"[""1009965641"", ""2108215830"", ""710436191"", ""3970837787"", ""3776945997""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",2
4800,1600,11200,17600,1,0,1,0.2727272727272727,0.0909090909090909,0.6363636363636364,4,4,4,4,1,"[""2407033488"", ""3294954488"", ""3970837787"", ""2951612397"", ""2081037738"", ""493591231"", ""1150006784""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",0
10400,11200,14400,36000,1,1,1,0.2888888888888888,0.3111111111111111,0.4,4,2,4,4,1,"[""1763073141"", ""1144549437"", ""2108215830"", ""1009965641"", ""811521119"", ""2603935618"", ""2566692615"", ""1427630806"", ""2447176615"", ""915014646"", ""1102081447"", ""2519598785""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",1
6400,9600,4800,20800,1,1,1,0.3076923076923077,0.4615384615384615,0.2307692307692307,4,2,4,4,1,"[""3696726732"", ""3403085434"", ""2064029594"", ""2829638276"", ""4139877411"", ""3357231760"", ""3970837787"", ""1193964439"", ""2081037738""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",1
2400,10400,5600,18400,0,1,1,0.1304347826086956,0.5652173913043478,0.3043478260869565,4,4,4,4,1,"[""1009965641"", ""2356412290"", ""4139877411"", ""951866250"", ""3140772621"", ""2717651715"", ""380806748"", ""3776945997""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",5
4800,2400,4000,11200,1,0,0,0.4285714285714285,0.2142857142857142,0.3571428571428571,2,2,4,4,0,"[""3791587546"", ""2407033488"", ""3970837787"", ""4139877411"", ""754480263"", ""1925087134"", ""380806748""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",3
9600,1600,9600,20800,1,0,1,0.4615384615384615,0.0769230769230769,0.4615384615384615,4,4,4,4,0,"[""2108215830"", ""1396247347"", ""2603935618"", ""3005970438"", ""1150006784"", ""2081037738""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",0
15200,1600,8000,24800,1,0,1,0.6129032258064516,0.064516129032258,0.3225806451612903,4,4,4,4,0,"[""811521119"", ""709540378"", ""2221211450"", ""1548066885"", ""2407033488"", ""2447176615"", ""3261353684"", ""2951612397"", ""787198704""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",0
6400,2400,800,9600,1,0,0,0.6666666666666666,0.25,0.0833333333333333,4,4,4,2,0,"[""1009965641"", ""989206714"", ""3403085434"", ""1548066885"", ""2447176615"", ""3399065363"", ""3776945997""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",2
12000,15200,16000,43200,1,1,1,0.2777777777777778,0.3518518518518518,0.3703703703703703,4,2,4,4,1,"[""2010028405"", ""1113837674"", ""4075861416"", ""2407033488"", ""951866250"", ""4139877411"", ""3357231760"", ""2603935618"", ""2519598785"", ""7409189"", ""1150006784"", ""3005970438""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]",1
