spent_weapon,spent_vitality,spent_spirit,spent_total,spike_weapon,spike_vitality,spike_spirit,ratio_weapon,ratio_vitality,ratio_spirit,skill_0_lvl,skill_1_lvl,skill_2_lvl,ult_lvl,early_ult,_items_sequence,_ability_sequence,cluster
4800,9600,11200,25600,1,1,1,0.1875,0.375,0.4375,4,4,4,4,0,"[""2064029594"", ""3696726732"", ""2829638276"", ""876563814"", ""4139877411"", ""3357231760"", ""677738769"", ""1925087134"", ""1292979587""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",2
12800,10400,800,24000,1,1,0,0.5333333333333333,0.4333333333333333,0.0333333333333333,4,4,4,4,0,"[""3077079169"", ""3696726732"", ""2064029594"", ""1009965641"", ""2226497419"", ""3399065363"", ""2603935618"", ""3357231760"", ""1644605047"", ""3776945997""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",1
8800,7200,800,16800,1,1,0,0.5238095238095238,0.4285714285714285,0.0476190476190476,4,4,4,4,0,"[""1009965641"", ""2064029594"", ""709540378"", ""3696726732"", ""3074274290"", ""4139877411"", ""1378931225"", ""1644605047"", ""968099481""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",1
3200,14400,4800,22400,0,1,1,0.1428571428571428,0.6428571428571429,0.2142857142857142,4,4,2,4,0,"[""2064029594"", ""1009965641"", ""3077079169"", ""3399065363"", ""2829638276"", ""1250307611"", ""3357231760"", ""1292979587"", ""1150006784""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",5
4800,800,8000,13600,1,0,1,0.3529411764705882,0.0588235294117647,0.5882352941176471,4,4,4,4,0,"[""1009965641"", ""393974127"", ""3403085434"", ""3077079169"", ""2829638276"", ""2081037738"", ""2519598785""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",3
13600,4800,5600,24000,1,1,1,0.5666666666666667,0.2,0.2333333333333333,4,4,4,4,0,"[""709540378"", ""3077079169"", ""2064029594"", ""2226497419"", ""3403085434"", ""2447176615"", ""1235347618"", ""499683006"", ""1925087134"", ""968099481"", ""1292979587""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",2
4000,1600,3200,8800,0,0,0,0.4545454545454545,0.1818181818181818,0.3636363636363636,4,4,4,4,0,"[""709540378"", ""1009965641"", ""1047818222"", ""2081037738"", ""2951612397""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",5
8800,800,1600,11200,1,0,0,0.7857142857142857,0.0714285714285714,0.1428571428571428,4,4,4,4,0,"[""1763073141"", ""3696726732"", ""1009965641"", ""709540378"", ""2829638276"", ""2081037738""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",1
6400,4000,4000,14400,1,0,0,0.4444444444444444,0.2777777777777778,0.2777777777777778,4,4,4,4,0,"[""1009965641"", ""3077079169"", ""2064029594"", ""1144549437"", ""3403085434"", ""1644605047"", ""876563814"", ""4139877411"", ""2717651715"", ""968099481""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",1
10400,8000,20800,39200,1,1,1,0.2653061224489796,0.2040816326530612,0.5306122448979592,4,4,3,4,0,"[""3403085434"", ""3294954488"", ""2064029594"", ""1009965641"", ""709540378"", ""1797283378"", ""876563814"", ""1150006784"", ""2519598785"", ""915014646"", ""3005970438""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",2
6400,4000,7200,17600,1,0,1,0.3636363636363636,0.2272727272727272,0.4090909090909091,4,4,4,3,0,"[""2064029594"", ""2463960640"", ""2356412290"", ""2603935618"", ""876563814"", ""1710079648"", ""2081037738"", ""1193964439"", ""754480263"", ""380806748""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",3
4000,6400,4800,15200,0,1,1,0.2631578947368421,0.4210526315789473,0.3157894736842105,4,3,4,4,0,"[""1009965641"", ""3696726732"", ""1644605047"", ""2603935618"", ""499683006"", ""3970837787"", ""2081037738"", ""2951612397"", ""84321454""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",5
12000,4800,10400,27200,1,1,1,0.4411764705882353,0.1764705882352941,0.3823529411764705,4,2,4,4,0,"[""3696726732"", ""2226497419"", ""2064029594"", ""1009965641"", ""1414025773"", ""2447176615"", ""7409189"", ""2971868509"", ""3005970438"", ""754480263""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",2
4800,800,9600,15200,1,0,1,0.3157894736842105,0.0526315789473684,0.631578947368421,4,4,4,4,0,"[""709540378"", ""3077079169"", ""1009965641"", ""2829638276"", ""2951612397"", ""380806748"", ""3005970438""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",3
8000,800,4800,13600,1,0,1,0.5882352941176471,0.0588235294117647,0.3529411764705882,4,4,4,4,0,"[""2226497419"", ""1144549437"", ""3399065363"", ""1150006784"", ""3261353684""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",3
10400,9600,9600,29600,1,1,1,0.3513513513513513,0.3243243243243243,0.3243243243243243,4,3,4,2,0,"[""2064029594"", ""1009965641"", ""3696726732"", ""709540378"", ""2407033488"", ""3970837787"", ""3140772621"", ""2163598980"", ""1047818222"", ""2951612397"", ""2717651715"", ""1292979587"", ""380806748""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",2
7200,2400,13600,23200,1,0,1,0.3103448275862069,0.1034482758620689,0.5862068965517241,4,4,4,4,0,"[""3696726732"", ""1009965641"", ""709540378"", ""3399065363"", ""876563814"", ""2519598785"", ""3005970438"", ""968099481""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",3
4800,3200,10400,18400,1,0,1,0.2608695652173913,0.1739130434782608,0.5652173913043478,4,4,4,4,0,"[""3403085434"", ""4075861416"", ""876563814"", ""112198670"", ""968099481"", ""677738769"", ""2717651715""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",3
8000,3200,9600,20800,1,0,1,0.3846153846153846,0.1538461538461538,0.4615384615384615,4,4,4,4,0,"[""3077079169"", ""2226497419"", ""1009965641"", ""3399065363"", ""2829638276"", ""876563814"", ""3005970438"", ""1292979587""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",3
2400,3200,8000,13600,0,0,1,0.1764705882352941,0.2352941176470588,0.5882352941176471,4,4,4,4,0,"[""2064029594"", ""3077079169"", ""1047818222"", ""3970837787"", ""7409189"", ""2081037738"", ""2717651715"", ""380806748""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",5
9600,9600,8800,28000,1,1,1,0.3428571428571428,0.3428571428571428,0.3142857142857143,4,4,3,2,0,"[""4075861416"", ""2407033488"", ""3696726732"", ""1144549437"", ""3357231760"", ""334300056"", ""3005970438"", ""2951612397"", ""968099481""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",0
4800,10400,10400,25600,1,1,1,0.1875,0.40625,0.40625,4,4,4,4,0,"[""2407033488"", ""3696726732"", ""1710079648"", ""1644605047"", ""1797283378"", ""2603935618"", ""3005970438"", ""2061878743"", ""968099481""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",2
11200,4800,8800,24800,1,1,1,0.4516129032258064,0.1935483870967742,0.3548387096774194,4,4,4,4,0,"[""3696726732"", ""709540378"", ""2407033488"", ""3403085434"", ""1144549437"", ""876563814"", ""3970837787"", ""1644605047"", ""493591231"", ""7409189"", ""968099481""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",2
2400,11200,2400,16000,0,1,0,0.15,0.7,0.15,4,4,4,4,0,"[""2356412290"", ""3077079169"", ""1378931225"", ""2447176615"", ""3731635960"", ""3585132399"", ""7409189"", ""968099481""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",5
8000,6400,1600,16000,1,1,0,0.5,0.4,0.1,4,4,4,4,0,"[""2226497419"", ""1770441818"", ""865846625"", ""2081037738""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",1
7200,10400,10400,28000,1,1,1,0.2571428571428571,0.3714285714285714,0.3714285714285714,4,4,4,4,0,"[""3696726732"", ""709540378"", ""1009965641"", ""3970837787"", ""4139877411"", ""3357231760"", ""2447176615"", ""2951612397"", ""754480263"", ""2081037738"", ""3005970438""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",2
8000,8000,9600,25600,1,1,1,0.3125,0.3125,0.375,4,4,4,4,0,"[""3077079169"", ""1009965641"", ""709540378"", ""2064029594"", ""1770441818"", ""951866250"", ""1644605047"", ""1193964439"", ""1292979587"", ""2717651715""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",2
5600,10400,4800,20800,1,1,1,0.2692307692307692,0.5,0.2307692307692307,4,4,4,4,0,"[""3862866912"", ""3696726732"", ""2064029594"", ""2447176615"", ""3491236900"", ""2603935618"", ""3399065363"", ""2081037738"", ""2717651715""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",2
1600,4000,9600,15200,0,0,1,0.1052631578947368,0.2631578947368421,0.631578947368421,4,4,4,4,0,"[""1009965641"", ""3077079169"", ""3633614685"", ""876563814"", ""2603935618"", ""2951612397"", ""84321454"", ""3005970438""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",5
9600,8000,8800,26400,1,1,1,0.3636363636363636,0.303030303030303,0.3333333333333333,4,4,4,4,0,"[""3884003354"", ""3696726732"", ""3357231760"", ""3970837787"", ""968099481"", ""2519598785"", ""380806748""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",2
8000,1600,9600,19200,1,0,1,0.4166666666666667,0.0833333333333333,0.5,4,4,4,4,0,"[""2226497419"", ""2064029594"", ""2447176615"", ""2951612397"", ""2081037738"", ""2519598785""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",3
10400,9600,4800,24800,1,1,1,0.4193548387096774,0.3870967741935484,0.1935483870967742,4,4,4,4,0,"[""709540378"", ""3077079169"", ""1770441818"", ""3696726732"", ""3403085434"", ""3970837787"", ""3357231760"", ""1047818222"", ""1292979587"", ""1150006784""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",2
14400,1600,4800,20800,1,0,1,0.6923076923076923,0.0769230769230769,0.2307692307692307,4,4,2,4,1,"[""3696726732"", ""2064029594"", ""1144549437"", ""3403085434"", ""2226497419"", ""3970837787"", ""2081037738"", ""1292979587""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",4
16800,1600,3200,21600,1,0,0,0.7777777777777778,0.074074074074074,0.1481481481481481,4,4,4,4,0,"[""3294954488"", ""3884003354"", ""709540378"", ""3696726732"", ""3077079169"", ""2603935618"", ""2717651715""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",1
4000,8000,14400,26400,0,1,1,0.1515151515151515,0.303030303030303,0.5454545454545454,3,4,4,4,0,"[""3696726732"", ""1009965641"", ""1797283378"", ""1047818222"", ""2951612397"", ""493591231"", ""3919289022""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",5
9600,1600,8800,20000,1,0,1,0.48,0.08,0.44,4,4,4,4,0,"[""1009965641"", ""3696726732"", ""709540378"", ""4104549924"", ""3077079169"", ""876563814"", ""3005970438"", ""7409189"", ""968099481""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",3
9600,20800,3200,33600,1,1,0,0.2857142857142857,0.6190476190476191,0.0952380952380952,4,4,4,4,0,"[""1009965641"", ""3696726732"", ""3077079169"", ""709540378"", ""393974127"", ""865846625"", ""2603935618"", ""3357231760"", ""951866250"", ""7409189"", ""2951612397""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",1
9600,1600,1600,12800,1,0,0,0.75,0.125,0.125,4,2,4,4,0,"[""3403085434"", ""3077079169"", ""3696726732"", ""709540378"", ""1009965641"", ""2447176615"", ""2951612397""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",1
2400,4800,11200,18400,0,1,1,0.1304347826086956,0.2608695652173913,0.6086956521739131,4,4,3,4,0,"[""1009965641"", ""3403085434"", ""876563814"", ""1047818222"", ""2829638276"", ""4139877411"", ""7409189"", ""2717651715"", ""3005970438""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",5
8800,4800,14400,28000,1,1,1,0.3142857142857143,0.1714285714285714,0.5142857142857142,4,4,4,4,0,"[""1009965641"", ""709540378"", ""4075861416"", ""2407033488"", ""2603935618"", ""876563814"", ""3970837787"", ""1150006784"", ""2519598785"", ""2717651715"", ""3261353684""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",2
5600,4800,12800,23200,1,1,1,0.2413793103448276,0.2068965517241379,0.5517241379310345,4,3,4,4,0,"[""1548066885"", ""2064029594"", ""709540378"", ""876563814"", ""1047818222"", ""1235347618"", ""2519598785"", ""2717651715"", ""1292979587""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",2
5600,4800,7200,17600,1,1,1,0.3181818181818182,0.2727272727272727,0.4090909090909091,3,4,4,1,0,"[""1009965641"", ""2356412290"", ""709540378"", ""2163598980"", ""876563814"", ""2519598785"", ""2462046703""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",0
9600,9600,12800,32000,1,1,1,0.3,0.3,0.4,4,4,4,4,0,"[""3077079169"", ""1009965641"", ""3403085434"", ""2226497419"", ""1797283378"", ""2603935618"", ""1644605047"", ""2951612397"", ""3005970438"", ""2081037738"", ""1292979587""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",2
8800,800,1600,11200,1,0,0,0.7857142857142857,0.0714285714285714,0.1428571428571428,4,3,4,4,0,"[""1009965641"", ""3696726732"", ""2064029594"", ""709540378"", ""3399065363"", ""7409189""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",1
6400,4800,16000,27200,1,1,1,0.2352941176470588,0.1764705882352941,0.5882352941176471,4,4,4,4,0,"[""1009965641"", ""3403085434"", ""668299740"", ""3696726732"", ""3585132399"", ""1644605047"", ""2519598785"", ""493591231"", ""1292979587""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",2
4800,2400,4800,12000,1,0,1,0.4,0.2,0.4,4,4,4,4,0,"[""4075861416"", ""3403085434"", ""2829638276"", ""1644605047"", ""2717651715"", ""7409189""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",3
15200,8800,6400,30400,1,1,1,0.5,0.2894736842105263,0.2105263157894736,4,4,4,4,0,"[""1009965641"", ""3696726732"", ""4075861416"", ""2226497419"", ""3403085434"", ""4139877411"", ""876563814"", ""1797283378"", ""84321454"", ""2951612397"", ""1925087134"", ""2081037738""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",2
7200,6400,1600,15200,1,1,0,0.4736842105263157,0.4210526315789473,0.1052631578947368,4,4,4,4,0,"[""1009965641"", ""3696726732"", ""709540378"", ""1047818222"", ""2163598980"", ""2603935618"", ""2081037738""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",1
10400,6400,8000,24800,1,1,1,0.4193548387096774,0.2580645161290322,0.3225806451612903,4,4,4,4,0,"[""3696726732"", ""3077079169"", ""2226497419"", ""3357231760"", ""1292979587"", ""2081037738"", ""1193964439""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",2
3200,4800,12800,20800,0,1,1,0.1538461538461538,0.2307692307692307,0.6153846153846154,4,4,4,4,0,"[""2064029594"", ""3403085434"", ""2447176615"", ""3970837787"", ""2603935618"", ""3005970438"", ""1193964439"", ""2081037738"", ""84321454""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",5
15200,11200,9600,36000,1,1,1,0.4222222222222222,0.3111111111111111,0.2666666666666666,4,4,4,4,0,"[""2463960640"", ""1009965641"", ""1144549437"", ""709540378"", ""3884003354"", ""1797283378"", ""1235347618"", ""2603935618"", ""112198670"", ""2717651715"", ""3919289022""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",2
6400,8800,9600,24800,1,1,1,0.2580645161290322,0.3548387096774194,0.3870967741935484,4,2,4,4,0,"[""2064029594"", ""3403085434"", ""3696726732"", ""3970837787"", ""3357231760"", ""3633614685"", ""493591231"", ""2951612397"", ""1925087134""]","[539192269, 1074714947, 1074714947, 539192269, 1065103387, 1065103387, 2061574352, 539192269, 539192269, 2061574352, 1065103387, 1065103387, 2061574352, 2061574352, 1074714947, 1074714947]",2
