spent_weapon,spent_vitality,spent_spirit,spent_total,spike_weapon,spike_vitality,spike_spirit,ratio_weapon,ratio_vitality,ratio_spirit,skill_0_lvl,skill_1_lvl,skill_2_lvl,ult_lvl,early_ult,_items_sequence,_ability_sequence,cluster
2400,5600,4000,12000,0,1,0,0.2,0.4666666666666667,0.3333333333333333,4,3,4,4,0,"[""395867183"", ""3862866912"", ""2829638276"", ""1047818222"", ""3970837787"", ""3074274290"", ""380806748"", ""1976391348"", ""968099481""]","[2366960452, 2566573207, 2566573207, 3255651252, 2566573207, 3319782965, 3255651252, 3255651252, 3255651252, 2366960452, 2366960452, 2366960452, 3319782965, 3319782965, 3319782965, 2566573207]",1
8800,9600,6400,24800,1,1,1,0.3548387096774194,0.3870967741935484,0.2580645161290322,4,4,4,4,0,"[""1144549437"", ""3791587546"", ""395867183"", ""393974127"", ""1009965641"", ""3399065363"", ""2603935618"", ""3028234315"", ""1672893796"", ""3577481646""]","[2366960452, 2566573207, 2566573207, 3255651252, 2566573207, 3319782965, 3255651252, 3255651252, 3255651252, 2366960452, 2366960452, 2366960452, 3319782965, 3319782965, 3319782965, 2566573207]",0
7200,4800,2400,14400,1,1,0,0.5,0.3333333333333333,0.1666666666666666,4,4,4,4,0,"[""98582110"", ""395867183"", ""3862866912"", ""4075861416"", ""1644605047"", ""1672893796"", ""2447176615"", ""1437614329"", ""1976391348"", ""465043967""]","[2366960452, 2566573207, 2566573207, 3255651252, 2566573207, 3319782965, 3255651252, 3255651252, 3255651252, 2366960452, 2366960452, 2366960452, 3319782965, 3319782965, 3319782965, 2566573207]",1
2400,5600,8000,16000,0,1,1,0.15,0.35,0.5,4,3,4,4,0,"[""395867183"", ""3862866912"", ""1644605047"", ""3399065363"", ""3140772621"", ""968099481"", ""465043967"", ""2519598785""]","[2366960452, 2566573207, 2566573207, 3255651252, 2566573207, 3319782965, 3255651252, 3255651252, 3255651252, 2366960452, 2366960452, 2366960452, 3319782965, 3319782965, 3319782965, 2566573207]",0
8000,3200,11200,22400,1,0,1,0.3571428571428571,0.1428571428571428,0.5,3,3,4,4,0,"[""26002154"", ""3077079169"", ""1144549437"", ""1342610602"", ""2739107182"", ""2163598980"", ""395944548"", ""380806748"", ""2417568017""]","[2366960452, 2566573207, 2566573207, 3255651252, 2566573207, 3319782965, 3255651252, 3255651252, 3255651252, 2366960452, 2366960452, 2366960452, 3319782965, 3319782965, 3319782965, 2566573207]",0
7200,12000,4000,23200,1,1,0,0.3103448275862069,0.5172413793103449,0.1724137931034483,4,4,4,4,0,"[""1144549437"", ""2095565695"", ""1009965641"", ""395867183"", ""805079544"", ""2163598980"", ""1437614329"", ""1955841979"", ""3261353684"", ""465043967""]","[2366960452, 2566573207, 2566573207, 3255651252, 2566573207, 3319782965, 3255651252, 3255651252, 3255651252, 2366960452, 2366960452, 2366960452, 3319782965, 3319782965, 3319782965, 2566573207]",1
6400,8000,12800,27200,1,1,1,0.2352941176470588,0.2941176470588235,0.4705882352941176,4,4,4,4,0,"[""395867183"", ""1144549437"", ""1009965641"", ""3077079169"", ""98582110"", ""3361075077"", ""1427630806"", ""343572757"", ""2519598785""]","[2366960452, 2566573207, 2566573207, 3255651252, 2566573207, 3319782965, 3255651252, 3255651252, 3255651252, 2366960452, 2366960452, 2366960452, 3319782965, 3319782965, 3319782965, 2566573207]",0
3200,6400,3200,12800,0,1,0,0.25,0.5,0.25,3,4,4,4,0,"[""98582110"", ""395867183"", ""2829638276"", ""2163598980"", ""1672893796"", ""1644605047"", ""2121044373""]","[2366960452, 2566573207, 2566573207, 3255651252, 2566573207, 3319782965, 3255651252, 3255651252, 3255651252, 2366960452, 2366960452, 2366960452, 3319782965, 3319782965, 3319782965, 2566573207]",1
8800,1600,2400,12800,1,0,0,0.6875,0.125,0.1875,4,4,4,4,0,"[""98582110"", ""3862866912"", ""1144549437"", ""395867183"", ""4075861416"", ""3074274290"", ""1976391348"", ""465043967""]","[2366960452, 2566573207, 2566573207, 3255651252, 2566573207, 3319782965, 3255651252, 3255651252, 3255651252, 2366960452, 2366960452, 2366960452, 3319782965, 3319782965, 3319782965, 2566573207]",1
7200,8000,800,16000,1,1,0,0.45,0.5,0.05,4,3,4,1,0,"[""3862866912"", ""395867183"", ""98582110"", ""1414319208"", ""3399065363"", ""3028234315"", ""2829638276"", ""968099481""]","[2366960452, 2566573207, 2566573207, 3255651252, 2566573207, 3319782965, 3255651252, 3255651252, 3255651252, 2366960452, 2366960452, 2366960452, 3319782965, 3319782965, 3319782965, 2566573207]",1
3200,9600,3200,16000,0,1,0,0.2,0.6,0.2,4,4,4,4,0,"[""1144549437"", ""98582110"", ""2059712766"", ""865846625"", ""2566692615"", ""395944548""]","[2366960452, 2566573207, 2566573207, 3255651252, 2566573207, 3319782965, 3255651252, 3255651252, 3255651252, 2366960452, 2366960452, 2366960452, 3319782965, 3319782965, 3319782965, 2566573207]",1
4000,6400,11200,21600,0,1,1,0.1851851851851851,0.2962962962962963,0.5185185185185185,4,4,4,4,0,"[""1144549437"", ""98582110"", ""3862866912"", ""1644605047"", ""2603935618"", ""112198670"", ""3970837787"", ""1976391348"", ""3190916303"", ""343572757""]","[2366960452, 2566573207, 2566573207, 3255651252, 2566573207, 3319782965, 3255651252, 3255651252, 3255651252, 2366960452, 2366960452, 2366960452, 3319782965, 3319782965, 3319782965, 2566573207]",0
5600,4800,6400,16800,1,1,1,0.3333333333333333,0.2857142857142857,0.3809523809523809,4,3,4,4,0,"[""3862866912"", ""1144549437"", ""395867183"", ""98582110"", ""2603935618"", ""2163598980"", ""3190916303"", ""3261353684""]","[2366960452, 2566573207, 2566573207, 3255651252, 2566573207, 3319782965, 3255651252, 3255651252, 3255651252, 2366960452, 2366960452, 2366960452, 3319782965, 3319782965, 3319782965, 2566573207]",0
2400,3200,11200,16800,0,0,1,0.1428571428571428,0.1904761904761904,0.6666666666666666,4,3,4,3,0,"[""1009965641"", ""98582110"", ""1437614329"", ""2603935618"", ""2829638276"", ""3190916303"", ""380806748"", ""3577481646""]","[2366960452, 2566573207, 2566573207, 3255651252, 2566573207, 3319782965, 3255651252, 3255651252, 3255651252, 2366960452, 2366960452, 2366960452, 3319782965, 3319782965, 3319782965, 2566573207]",0
