spent_weapon,spent_vitality,spent_spirit,spent_total,spike_weapon,spike_vitality,spike_spirit,ratio_weapon,ratio_vitality,ratio_spirit,skill_0_lvl,skill_1_lvl,skill_2_lvl,ult_lvl,early_ult,_items_sequence,_ability_sequence,cluster
4000,12000,6400,22400,0,1,1,0.1785714285714285,0.5357142857142857,0.2857142857142857,4,4,4,4,0,"[""1009965641"", ""2481177645"", ""3028234315"", ""1252627263"", ""4139877411"", ""3361075077"", ""395944548"", ""1150006784"", ""1102081447""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",4
10400,4800,7200,22400,1,1,1,0.4642857142857143,0.2142857142857142,0.3214285714285714,4,4,4,4,0,"[""1798666702"", ""2481177645"", ""1342610602"", ""393974127"", ""26002154"", ""2829638276"", ""3361075077"", ""2447176615"", ""4139877411"", ""3190916303"", ""2951612397"", ""465043967"", ""1150006784""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",0
12800,1600,800,15200,1,0,0,0.8421052631578947,0.1052631578947368,0.0526315789473684,4,4,4,3,0,"[""2064029594"", ""2095565695"", ""3977876567"", ""800008313"", ""2566692615"", ""465043967""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",1
5600,8800,8000,22400,1,1,1,0.25,0.3928571428571428,0.3571428571428571,4,4,3,4,0,"[""1342610602"", ""393974127"", ""1798666702"", ""3731635960"", ""3074274290"", ""2163598980"", ""3399065363"", ""1150006784"", ""915014646""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",0
9600,1600,3200,14400,1,0,0,0.6666666666666666,0.1111111111111111,0.2222222222222222,4,4,4,3,0,"[""98582110"", ""26002154"", ""2095565695"", ""1798666702"", ""3074274290"", ""1150006784"", ""2081037738""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",1
12000,5600,11200,28800,1,1,1,0.4166666666666667,0.1944444444444444,0.3888888888888889,3,4,4,1,0,"[""26002154"", ""1798666702"", ""1342610602"", ""2095565695"", ""2481177645"", ""2829638276"", ""2163598980"", ""1047818222"", ""1150006784"", ""677738769"", ""3190916303""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",0
16800,6400,2400,25600,1,1,0,0.65625,0.25,0.09375,4,4,4,4,0,"[""709540378"", ""800008313"", ""1798666702"", ""1342610602"", ""2095565695"", ""3028234315"", ""2971868509"", ""465043967""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",3
5600,14400,1600,21600,1,1,0,0.2592592592592592,0.6666666666666666,0.074074074074074,3,4,4,4,0,"[""26002154"", ""2095565695"", ""1342610602"", ""2603935618"", ""1371725689"", ""3028234315"", ""1150006784""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",3
9600,4000,4000,17600,1,0,0,0.5454545454545454,0.2272727272727272,0.2272727272727272,4,2,4,4,0,"[""1798666702"", ""800008313"", ""1252627263"", ""4139877411"", ""2717651715"", ""754480263""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",2
10400,800,12800,24000,1,0,1,0.4333333333333333,0.0333333333333333,0.5333333333333333,4,4,4,4,0,"[""2095565695"", ""1342610602"", ""395867183"", ""26002154"", ""3791587546"", ""1437614329"", ""915014646"", ""2417568017""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",1
7200,12000,8000,27200,1,1,1,0.2647058823529412,0.4411764705882353,0.2941176470588235,4,4,4,3,0,"[""2095565695"", ""1009965641"", ""1414319208"", ""2829638276"", ""3028234315"", ""1252627263"", ""2566692615"", ""1193964439"", ""968099481"", ""465043967"", ""395944548""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",0
4800,9600,6400,20800,1,1,1,0.2307692307692307,0.4615384615384615,0.3076923076923077,4,4,4,4,0,"[""26002154"", ""3791587546"", ""2407781327"", ""2829638276"", ""876563814"", ""4139877411"", ""1193964439"", ""2951612397"", ""380806748""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",0
12000,3200,4800,20000,1,0,1,0.6,0.16,0.24,4,4,4,3,0,"[""3791587546"", ""1342610602"", ""393974127"", ""800008313"", ""2603935618"", ""2566692615"", ""2971868509"", ""3190916303""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",1
2400,11200,8000,21600,0,1,1,0.1111111111111111,0.5185185185185185,0.3703703703703703,3,4,4,4,0,"[""1342610602"", ""26002154"", ""2059712766"", ""3028234315"", ""3270001687"", ""2951612397"", ""395944548"", ""3190916303""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",4
1600,3200,4000,8800,0,0,0,0.1818181818181818,0.3636363636363636,0.4545454545454545,4,4,4,2,0,"[""1342610602"", ""1009965641"", ""3731635960"", ""968099481"", ""3261353684""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",4
10400,8000,8000,26400,1,1,1,0.3939393939393939,0.303030303030303,0.303030303030303,3,4,4,4,0,"[""1342610602"", ""393974127"", ""3791587546"", ""26002154"", ""1798666702"", ""3970837787"", ""3270001687"", ""2603935618"", ""2059712766"", ""2951612397"", ""2717651715"", ""1150006784"", ""380806748""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",0
6400,9600,10400,26400,1,1,1,0.2424242424242424,0.3636363636363636,0.3939393939393939,2,4,4,3,0,"[""3791587546"", ""393974127"", ""26002154"", ""3731635960"", ""1371725689"", ""2519598785"", ""3190916303"", ""465043967""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",0
4800,8000,7200,20000,1,1,1,0.24,0.4,0.36,4,4,4,3,0,"[""2095565695"", ""3977876567"", ""1371725689"", ""876563814"", ""754480263"", ""395944548"", ""2717651715""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",0
8000,9600,14400,32000,1,1,1,0.25,0.3,0.45,4,4,4,4,0,"[""2095565695"", ""1414319208"", ""98582110"", ""3585132399"", ""3140772621"", ""3270001687"", ""395944548"", ""3190916303"", ""1150006784"", ""915014646""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",0
4000,8000,6400,18400,0,1,1,0.217391304347826,0.4347826086956521,0.3478260869565217,4,4,4,3,0,"[""1798666702"", ""3862866912"", ""4139877411"", ""951866250"", ""2829638276"", ""2717651715"", ""395944548""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",4
11200,2400,7200,20800,1,0,1,0.5384615384615384,0.1153846153846153,0.3461538461538461,4,4,4,4,0,"[""3977876567"", ""1414319208"", ""3791587546"", ""2481177645"", ""2566692615"", ""3399065363"", ""395944548"", ""2971868509"", ""2951612397"", ""754480263""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",1
4000,11200,8800,24000,0,1,1,0.1666666666666666,0.4666666666666667,0.3666666666666666,4,4,4,3,0,"[""1414319208"", ""3077079169"", ""2566692615"", ""3028234315"", ""3970837787"", ""2603935618"", ""754480263"", ""2951612397"", ""3005970438""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",4
15200,3200,800,19200,1,0,0,0.7916666666666666,0.1666666666666666,0.0416666666666666,4,4,4,3,0,"[""1414319208"", ""26002154"", ""2481177645"", ""800008313"", ""3862866912"", ""1414025773"", ""465043967""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",1
6400,6400,16000,28800,1,1,1,0.2222222222222222,0.2222222222222222,0.5555555555555556,4,4,4,4,0,"[""26002154"", ""393974127"", ""1798666702"", ""2566692615"", ""2163598980"", ""2603935618"", ""3190916303"", ""3005970438"", ""343572757""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",0
8000,3200,1600,12800,1,0,0,0.625,0.25,0.125,4,4,4,4,0,"[""393974127"", ""1342610602"", ""1009965641"", ""26002154"", ""2095565695"", ""1252627263"", ""380806748""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",1
12800,8000,11200,32000,1,1,1,0.4,0.25,0.35,3,4,4,4,0,"[""26002154"", ""2481177645"", ""3791587546"", ""3977876567"", ""2095565695"", ""3399065363"", ""1371725689"", ""2829638276"", ""1193964439"", ""3005970438"", ""1150006784""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",0
4800,4000,9600,18400,1,0,1,0.2608695652173913,0.217391304347826,0.5217391304347826,4,4,4,4,0,"[""393974127"", ""26002154"", ""1342610602"", ""1009965641"", ""1437614329"", ""2447176615"", ""2566692615"", ""2717651715"", ""915014646""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",1
10400,9600,6400,26400,1,1,1,0.3939393939393939,0.3636363636363636,0.2424242424242424,4,4,4,2,0,"[""3791587546"", ""1342610602"", ""800008313"", ""3731635960"", ""3028234315"", ""2951612397"", ""1925087134"", ""2717651715""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",0
4800,10400,6400,21600,1,1,1,0.2222222222222222,0.4814814814814814,0.2962962962962963,4,4,4,3,0,"[""98582110"", ""2095565695"", ""3731635960"", ""1371725689"", ""2829638276"", ""2951612397"", ""380806748"", ""3261353684""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",0
9600,7200,10400,27200,1,1,1,0.3529411764705882,0.2647058823529412,0.3823529411764705,4,4,4,3,0,"[""3884003354"", ""2481177645"", ""3399065363"", ""3491236900"", ""3261353684"", ""754480263"", ""2519598785""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",0
7200,8800,3200,19200,1,1,0,0.375,0.4583333333333333,0.1666666666666666,4,4,4,3,0,"[""26002154"", ""1342610602"", ""2064029594"", ""2481177645"", ""3491236900"", ""2603935618"", ""2829638276"", ""395944548""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",3
12000,9600,1600,23200,1,1,0,0.5172413793103449,0.4137931034482758,0.0689655172413793,4,4,4,3,0,"[""26002154"", ""1798666702"", ""1009965641"", ""2095565695"", ""1932939246"", ""3970837787"", ""3361075077"", ""1955841979"", ""968099481"", ""465043967""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",3
4000,4000,3200,11200,0,0,0,0.3571428571428571,0.3571428571428571,0.2857142857142857,4,4,4,4,0,"[""1009965641"", ""2095565695"", ""2829638276"", ""4139877411"", ""3399065363"", ""2603935618"", ""3261353684""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",4
5600,12000,9600,27200,1,1,1,0.2058823529411764,0.4411764705882353,0.3529411764705882,4,4,4,1,0,"[""3862866912"", ""26002154"", ""2481177645"", ""1252627263"", ""2829638276"", ""3028234315"", ""876563814"", ""1150006784"", ""2971868509"", ""915014646""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",0
12800,4000,800,17600,1,0,0,0.7272727272727273,0.2272727272727272,0.0454545454545454,4,4,4,4,0,"[""800008313"", ""3791587546"", ""2095565695"", ""1252627263"", ""4204808176"", ""754480263""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",1
17600,6400,1600,25600,1,1,0,0.6875,0.25,0.0625,3,4,4,4,0,"[""26002154"", ""4075861416"", ""1798666702"", ""3791587546"", ""339443430"", ""1371725689"", ""2951612397""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",3
4800,10400,12800,28000,1,1,1,0.1714285714285714,0.3714285714285714,0.4571428571428571,4,4,1,4,0,"[""1798666702"", ""26002154"", ""499683006"", ""1235347618"", ""2829638276"", ""3491236900"", ""3005970438"", ""380806748"", ""2951612397"", ""3190916303""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",0
6400,7200,3200,16800,1,1,0,0.3809523809523809,0.4285714285714285,0.1904761904761904,4,4,4,2,0,"[""2095565695"", ""2481177645"", ""1437614329"", ""1371725689"", ""1193964439""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]",3
