spent_weapon,spent_vitality,spent_spirit,spent_total,spike_weapon,spike_vitality,spike_spirit,ratio_weapon,ratio_vitality,ratio_spirit,skill_0_lvl,skill_1_lvl,skill_2_lvl,ult_lvl,early_ult,_items_sequence,_ability_sequence,cluster
3200,7200,8000,18400,0,1,1,0.1739130434782608,0.391304347826087,0.4347826086956521,4,4,4,4,1,"[""1763073141"", ""3331811235"", ""3970837787"", ""334300056"", ""4139877411"", ""3074274290"", ""968099481"", ""915014646"", ""3776945997""]","[3452399392, 3452399392, 548943648, 512733154, 3452399392, 3242902780, 3242902780, 3242902780, 3242902780, 548943648, 548943648, 548943648, 512733154, 512733154, 512733154, 3452399392]",0
3200,4800,3200,11200,0,1,0,0.2857142857142857,0.4285714285714285,0.2857142857142857,4,3,4,4,1,"[""3331811235"", ""1763073141"", ""3074274290"", ""334300056"", ""3261353684""]","[3452399392, 3452399392, 548943648, 512733154, 3452399392, 3242902780, 3242902780, 3242902780, 3242902780, 548943648, 548943648, 548943648, 512733154, 512733154, 512733154, 3452399392]",1
3200,8800,4800,16800,0,1,1,0.1904761904761904,0.5238095238095238,0.2857142857142857,3,2,1,4,1,"[""1763073141"", ""4104549924"", ""4139877411"", ""3970837787"", ""334300056"", ""2163598980"", ""380806748"", ""2121044373""]","[3452399392, 3452399392, 548943648, 512733154, 3452399392, 3242902780, 3242902780, 3242902780, 3242902780, 548943648, 548943648, 548943648, 512733154, 512733154, 512733154, 3452399392]",0
8000,9600,4000,21600,1,1,0,0.3703703703703703,0.4444444444444444,0.1851851851851851,4,4,4,4,1,"[""4104549924"", ""1396247347"", ""2447176615"", ""334300056"", ""2603935618"", ""1414025773"", ""2121044373"", ""968099481""]","[3452399392, 3452399392, 548943648, 512733154, 3452399392, 3242902780, 3242902780, 3242902780, 3242902780, 548943648, 548943648, 548943648, 512733154, 512733154, 512733154, 3452399392]",1
7200,6400,17600,31200,1,1,1,0.2307692307692307,0.2051282051282051,0.5641025641025641,4,4,2,4,1,"[""1009965641"", ""3331811235"", ""3294954488"", ""1763073141"", ""1235347618"", ""3970837787"", ""334300056"", ""7409189"", ""3005970438"", ""2121044373"", ""2519598785""]","[3452399392, 3452399392, 548943648, 512733154, 3452399392, 3242902780, 3242902780, 3242902780, 3242902780, 548943648, 548943648, 548943648, 512733154, 512733154, 512733154, 3452399392]",0
3200,1600,3200,8000,0,0,0,0.4,0.2,0.4,2,4,4,4,0,"[""2064029594"", ""395867183"", ""3970837787"", ""1292979587""]","[3452399392, 3452399392, 548943648, 512733154, 3452399392, 3242902780, 3242902780, 3242902780, 3242902780, 548943648, 548943648, 548943648, 512733154, 512733154, 512733154, 3452399392]",1
4800,8800,7200,20800,1,1,1,0.2307692307692307,0.4230769230769231,0.3461538461538461,4,4,4,4,1,"[""2152872419"", ""2064029594"", ""3140772621"", ""1235347618"", ""334300056"", ""1710079648"", ""968099481"", ""3261353684"", ""380806748"", ""7409189""]","[3452399392, 3452399392, 548943648, 512733154, 3452399392, 3242902780, 3242902780, 3242902780, 3242902780, 548943648, 548943648, 548943648, 512733154, 512733154, 512733154, 3452399392]",0
4000,1600,7200,12800,0,0,1,0.3125,0.125,0.5625,4,4,4,4,1,"[""668299740"", ""2678489038"", ""3970837787"", ""2121044373"", ""968099481"", ""3261353684""]","[3452399392, 3452399392, 548943648, 512733154, 3452399392, 3242902780, 3242902780, 3242902780, 3242902780, 548943648, 548943648, 548943648, 512733154, 512733154, 512733154, 3452399392]",0
4000,3200,12000,19200,0,0,1,0.2083333333333333,0.1666666666666666,0.625,3,1,1,4,1,"[""395867183"", ""3077079169"", ""2064029594"", ""334300056"", ""380806748"", ""2519598785"", ""968099481"", ""787198704""]","[3452399392, 3452399392, 548943648, 512733154, 3452399392, 3242902780, 3242902780, 3242902780, 3242902780, 548943648, 548943648, 548943648, 512733154, 512733154, 512733154, 3452399392]",0
6400,7200,8000,21600,1,1,1,0.2962962962962963,0.3333333333333333,0.3703703703703703,4,4,4,4,1,"[""1763073141"", ""395867183"", ""4104549924"", ""3331811235"", ""1055679805"", ""4139877411"", ""2922054143"", ""2519598785"", ""968099481""]","[3452399392, 3452399392, 548943648, 512733154, 3452399392, 3242902780, 3242902780, 3242902780, 3242902780, 548943648, 548943648, 548943648, 512733154, 512733154, 512733154, 3452399392]",0
3200,1600,5600,10400,0,0,1,0.3076923076923077,0.1538461538461538,0.5384615384615384,4,4,4,4,1,"[""4104549924"", ""2064029594"", ""499683006"", ""1998374645"", ""380806748"", ""3261353684""]","[3452399392, 3452399392, 548943648, 512733154, 3452399392, 3242902780, 3242902780, 3242902780, 3242902780, 548943648, 548943648, 548943648, 512733154, 512733154, 512733154, 3452399392]",0
5600,1600,3200,10400,1,0,0,0.5384615384615384,0.1538461538461538,0.3076923076923077,4,4,4,4,1,"[""3077079169"", ""1763073141"", ""2152872419"", ""3970837787"", ""7409189"", ""968099481"", ""1998374645""]","[3452399392, 3452399392, 548943648, 512733154, 3452399392, 3242902780, 3242902780, 3242902780, 3242902780, 548943648, 548943648, 548943648, 512733154, 512733154, 512733154, 3452399392]",1
8000,3200,5600,16800,1,0,1,0.4761904761904761,0.1904761904761904,0.3333333333333333,3,4,4,4,1,"[""395867183"", ""2152872419"", ""4104549924"", ""2064029594"", ""1414025773"", ""7409189"", ""3776945997"", ""1292979587""]","[3452399392, 3452399392, 548943648, 512733154, 3452399392, 3242902780, 3242902780, 3242902780, 3242902780, 548943648, 548943648, 548943648, 512733154, 512733154, 512733154, 3452399392]",0
11200,6400,2400,20000,1,1,0,0.56,0.32,0.12,4,4,3,4,1,"[""395867183"", ""2064029594"", ""4104549924"", ""2221211450"", ""1235347618"", ""1378931225"", ""3074274290"", ""968099481"", ""7409189""]","[3452399392, 3452399392, 548943648, 512733154, 3452399392, 3242902780, 3242902780, 3242902780, 3242902780, 548943648, 548943648, 548943648, 512733154, 512733154, 512733154, 3452399392]",1
3200,7200,10400,20800,0,1,1,0.1538461538461538,0.3461538461538461,0.5,4,3,4,4,1,"[""395867183"", ""2064029594"", ""334300056"", ""3970837787"", ""1235347618"", ""4139877411"", ""343572757"", ""3776945997"", ""380806748"", ""7409189""]","[3452399392, 3452399392, 548943648, 512733154, 3452399392, 3242902780, 3242902780, 3242902780, 3242902780, 548943648, 548943648, 548943648, 512733154, 512733154, 512733154, 3452399392]",0
7200,10400,3200,20800,1,1,0,0.3461538461538461,0.5,0.1538461538461538,4,4,4,4,1,"[""1763073141"", ""3331811235"", ""1009965641"", ""4104549924"", ""395867183"", ""1055679805"", ""4139877411"", ""334300056"", ""7409189"", ""968099481"", ""3776945997""]","[3452399392, 3452399392, 548943648, 512733154, 3452399392, 3242902780, 3242902780, 3242902780, 3242902780, 548943648, 548943648, 548943648, 512733154, 512733154, 512733154, 3452399392]",1
3200,6400,12000,21600,0,1,1,0.1481481481481481,0.2962962962962963,0.5555555555555556,3,4,3,4,1,"[""3977876567"", ""2064029594"", ""1235347618"", ""3970837787"", ""1414025773"", ""2519598785"", ""787198704"", ""3776945997"", ""380806748""]","[3452399392, 3452399392, 548943648, 512733154, 3452399392, 3242902780, 3242902780, 3242902780, 3242902780, 548943648, 548943648, 548943648, 512733154, 512733154, 512733154, 3452399392]",0
