spent_weapon,spent_vitality,spent_spirit,spent_total,spike_weapon,spike_vitality,spike_spirit,ratio_weapon,ratio_vitality,ratio_spirit,skill_0_lvl,skill_1_lvl,skill_2_lvl,ult_lvl,early_ult,_items_sequence,_ability_sequence
2400,15200,10400,28000,0,1,1,0.08571428571428572,0.5428571428571428,0.37142857142857144,4,3,1,4,1,"[""1342610602"", ""3403085434"", ""3357231760"", ""1371725689"", ""3970837787"", ""3399065363"", ""343572757"", ""1254091416"", ""968099481""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]"
9600,7200,6400,23200,1,1,1,0.41379310344827586,0.3103448275862069,0.27586206896551724,4,4,4,4,1,"[""2095565695"", ""3403085434"", ""1342610602"", ""1009965641"", ""1932939246"", ""3399065363"", ""3270001687"", ""2603935618"", ""3970837787"", ""3005970438""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]"
6400,1600,2400,10400,1,0,0,0.6153846153846154,0.15384615384615385,0.23076923076923078,4,4,4,4,1,"[""1548066885"", ""395867183"", ""1009965641"", ""2356412290"", ""3403085434"", ""3970837787"", ""968099481"", ""1976391348""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]"
5600,10400,1600,17600,1,1,0,0.3181818181818182,0.5909090909090909,0.09090909090909091,4,3,4,4,1,"[""1009965641"", ""1798666702"", ""3403085434"", ""3399065363"", ""3357231760"", ""2603935618"", ""3361075077"", ""968099481"", ""754480263""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]"
7200,6400,2400,16000,1,1,0,0.45,0.4,0.15,4,4,4,4,1,"[""1009965641"", ""98582110"", ""3403085434"", ""2108215830"", ""3357231760"", ""1813726886"", ""1998374645""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]"
12800,4800,7200,24800,1,1,1,0.5161290322580645,0.1935483870967742,0.2903225806451613,4,4,3,4,0,"[""709540378"", ""2108215830"", ""1770441818"", ""1932939246"", ""3403085434"", ""3074274290"", ""2566692615"", ""876563814"", ""1193964439"", ""395944548"", ""968099481""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]"
2400,1600,4000,8000,0,0,0,0.3,0.2,0.5,4,4,4,4,1,"[""395867183"", ""1009965641"", ""2447176615"", ""1998374645"", ""2717651715""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]"
10400,7200,4800,22400,1,1,1,0.4642857142857143,0.32142857142857145,0.21428571428571427,4,4,3,4,1,"[""1009965641"", ""3403085434"", ""339443430"", ""395867183"", ""3074274290"", ""2059712766"", ""1804594021"", ""3399065363"", ""1193964439"", ""968099481"", ""754480263""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]"
9600,8000,16000,33600,1,1,1,0.2857142857142857,0.23809523809523808,0.47619047619047616,4,3,4,4,0,"[""395867183"", ""709540378"", ""3696726732"", ""3403085434"", ""3357231760"", ""2447176615"", ""2717651715"", ""2417568017"", ""1254091416"", ""395944548""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]"
8000,7200,8800,24000,1,1,1,0.3333333333333333,0.3,0.36666666666666664,4,4,4,4,0,"[""3403085434"", ""1342610602"", ""1009965641"", ""1932939246"", ""395867183"", ""3399065363"", ""3361811174"", ""1193964439"", ""2061878743"", ""1998374645"", ""2081037738""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]"
10400,6400,12000,28800,1,1,1,0.3611111111111111,0.2222222222222222,0.4166666666666667,4,1,4,3,1,"[""393974127"", ""1798666702"", ""1009965641"", ""709540378"", ""3403085434"", ""2163598980"", ""3731635960"", ""915014646"", ""1998374645"", ""7409189"", ""3261353684""]","[1454278799, 1454278799, 1914797280, 2406758797, 1454278799, 1917840730, 2406758797, 2406758797, 2406758797, 1917840730, 1917840730, 1454278799, 1917840730, 1914797280, 1914797280, 1914797280]"
