spent_weapon,spent_vitality,spent_spirit,spent_total,spike_weapon,spike_vitality,spike_spirit,ratio_weapon,ratio_vitality,ratio_spirit,skill_0_lvl,skill_1_lvl,skill_2_lvl,ult_lvl,early_ult,_items_sequence,_ability_sequence
4000,9600,9600,23200,0,1,1,0.1724137931034483,0.41379310344827586,0.41379310344827586,4,4,4,4,0,"[""1548066885"", ""2463960640"", ""3399065363"", ""865846625"", ""4139877411"", ""3970837787"", ""493591231"", ""1150006784"", ""1102081447""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]"
8800,10400,7200,26400,1,1,1,0.3333333333333333,0.3939393939393939,0.2727272727272727,4,4,4,4,1,"[""2108215830"", ""2407033488"", ""1763073141"", ""1009965641"", ""393974127"", ""3357231760"", ""3970837787"", ""2447176615"", ""4139877411"", ""3261353684"", ""2951612397"", ""754480263"", ""1150006784""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]"
4800,1600,800,7200,1,0,0,0.6666666666666666,0.2222222222222222,0.1111111111111111,4,4,4,4,1,"[""2356412290"", ""2407033488"", ""3862866912"", ""1009965641"", ""2447176615"", ""754480263""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]"
5600,9600,4800,20000,1,1,1,0.28,0.48,0.24,4,4,2,4,1,"[""1932939246"", ""1009965641"", ""2356412290"", ""3970837787"", ""3399065363"", ""2037039379"", ""3633614685"", ""1102081447"", ""787198704""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]"
5600,800,3200,9600,1,0,0,0.5833333333333334,0.08333333333333333,0.3333333333333333,4,4,4,4,1,"[""1009965641"", ""381961617"", ""2407033488"", ""2356412290"", ""3399065363"", ""1150006784"", ""1813726886""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]"
11200,4800,5600,21600,1,1,1,0.5185185185185185,0.2222222222222222,0.25925925925925924,4,1,3,4,1,"[""811521119"", ""2356412290"", ""1770441818"", ""2108215830"", ""2407033488"", ""2829638276"", ""1710079648"", ""334300056"", ""1102081447"", ""754480263"", ""3261353684""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]"
13600,1600,8000,23200,1,0,1,0.5862068965517241,0.06896551724137931,0.3448275862068966,4,4,4,4,0,"[""1009965641"", ""2226497419"", ""2108215830"", ""2407033488"", ""2356412290"", ""2447176615"", ""630839635"", ""7409189""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]"
13600,2400,3200,19200,1,0,0,0.7083333333333334,0.125,0.16666666666666666,4,4,4,4,0,"[""2407033488"", ""1763073141"", ""1009965641"", ""2108215830"", ""2480592370"", ""2447176615"", ""1710079648"", ""2081037738"", ""1102081447""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]"
6400,1600,9600,17600,1,0,1,0.36363636363636365,0.09090909090909091,0.5454545454545454,4,4,4,4,0,"[""3791587546"", ""3403085434"", ""2356412290"", ""1644605047"", ""2951612397"", ""2717651715"", ""1150006784"", ""787198704""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]"
15200,2400,6400,24000,1,0,1,0.6333333333333333,0.1,0.26666666666666666,4,4,4,4,1,"[""3294954488"", ""1763073141"", ""1009965641"", ""2108215830"", ""710436191"", ""3970837787"", ""3399065363"", ""1102081447"", ""2081037738"", ""1925087134"", ""380806748""]","[1725685134, 2142734020, 3133377790, 3133377790, 3133377790, 3503044146, 3503044146, 3503044146, 3503044146, 1725685134, 1725685134, 1725685134, 3133377790, 2142734020, 2142734020, 2142734020]"
