spent_weapon,spent_vitality,spent_spirit,spent_total,spike_weapon,spike_vitality,spike_spirit,ratio_weapon,ratio_vitality,ratio_spirit,skill_0_lvl,skill_1_lvl,skill_2_lvl,ult_lvl,early_ult,_items_sequence,_ability_sequence
4800,10400,5600,20800,1,1,1,0.23076923076923078,0.5,0.2692307692307692,3,4,3,4,0,"[""2152872419"", ""3331811235"", ""3074274290"", ""865846625"", ""3970837787"", ""3399065363"", ""7409189"", ""968099481"", ""787198704""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
10400,7200,800,18400,1,1,0,0.5652173913043478,0.391304347826087,0.043478260869565216,3,4,4,4,0,"[""2739107182"", ""3331811235"", ""2152872419"", ""2010028405"", ""2356412290"", ""3399065363"", ""3074274290"", ""1414025773"", ""3970837787"", ""3776945997""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
10400,3200,7200,20800,1,0,1,0.5,0.15384615384615385,0.34615384615384615,4,4,4,4,0,"[""2226497419"", ""668299740"", ""1548066885"", ""3077079169"", ""4104549924"", ""1414025773"", ""968099481"", ""84321454"", ""7409189"", ""787198704""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
5600,3200,4000,12800,1,0,0,0.4375,0.25,0.3125,4,4,4,4,0,"[""2152872419"", ""3331811235"", ""3077079169"", ""3585132399"", ""3776945997"", ""787198704""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
3200,4000,1600,8800,0,0,0,0.36363636363636365,0.45454545454545453,0.18181818181818182,3,2,4,4,0,"[""1144549437"", ""1770441818"", ""112198670"", ""3399065363"", ""3074274290"", ""3776945997"", ""968099481""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
12000,10400,4000,26400,1,1,0,0.45454545454545453,0.3939393939393939,0.15151515151515152,4,4,4,4,0,"[""1144549437"", ""989206714"", ""3077079169"", ""2226497419"", ""3399065363"", ""3074274290"", ""2603935618"", ""1282141666"", ""7409189"", ""968099481"", ""84321454""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
8000,10400,8000,26400,1,1,1,0.30303030303030304,0.3939393939393939,0.30303030303030304,3,4,4,4,1,"[""2064029594"", ""668299740"", ""2739107182"", ""3077079169"", ""3331811235"", ""3074274290"", ""1644605047"", ""3399065363"", ""951866250"", ""7409189"", ""2519598785""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
7200,6400,3200,16800,1,1,0,0.42857142857142855,0.38095238095238093,0.19047619047619047,4,4,4,4,0,"[""1548066885"", ""2226497419"", ""3074274290"", ""1710079648"", ""1414025773"", ""3399065363"", ""787198704""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
8800,3200,16800,28800,1,0,1,0.3055555555555556,0.1111111111111111,0.5833333333333334,4,4,4,4,0,"[""4104549924"", ""3884003354"", ""3077079169"", ""1414025773"", ""3577481646"", ""2519598785"", ""968099481"", ""787198704""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
16000,4800,3200,24000,1,1,0,0.6666666666666666,0.2,0.13333333333333333,3,3,4,4,0,"[""3791587546"", ""2226497419"", ""1770441818"", ""2064029594"", ""2739107182"", ""3633614685"", ""3399065363"", ""1414025773"", ""2061878743""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
4000,6400,4800,15200,0,1,1,0.2631578947368421,0.42105263157894735,0.3157894736842105,4,4,4,4,1,"[""668299740"", ""2152872419"", ""499683006"", ""2447176615"", ""1414025773"", ""7409189"", ""1813726886"", ""84321454""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
4800,4800,3200,12800,1,1,0,0.375,0.375,0.25,3,4,3,4,0,"[""2739107182"", ""2064029594"", ""499683006"", ""3970837787"", ""2447176615"", ""3776945997"", ""7409189"", ""968099481""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
11200,7200,2400,20800,1,1,0,0.5384615384615384,0.34615384615384615,0.11538461538461539,4,4,4,4,1,"[""2678489038"", ""2226497419"", ""2064029594"", ""1414025773"", ""2447176615"", ""1710079648"", ""499683006"", ""3776945997"", ""7409189""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
10400,8000,1600,20000,1,1,0,0.52,0.4,0.08,4,4,4,4,1,"[""989206714"", ""3077079169"", ""2064029594"", ""2739107182"", ""3331811235"", ""3970837787"", ""1282141666"", ""7409189""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
6400,4800,10400,21600,1,1,1,0.2962962962962963,0.2222222222222222,0.48148148148148145,4,4,3,4,1,"[""3331811235"", ""2064029594"", ""4104549924"", ""1770441818"", ""2447176615"", ""1414025773"", ""84321454"", ""7409189"", ""968099481"", ""3919289022""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
7200,9600,5600,22400,1,1,1,0.32142857142857145,0.42857142857142855,0.25,4,4,4,4,0,"[""3077079169"", ""3403085434"", ""2356412290"", ""2064029594"", ""3331811235"", ""1414025773"", ""865846625"", ""2951612397"", ""787198704"", ""3776945997""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
8000,6400,2400,16800,1,1,0,0.47619047619047616,0.38095238095238093,0.14285714285714285,3,3,4,4,0,"[""3331811235"", ""1396247347"", ""951866250"", ""3776945997"", ""84321454""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
15200,11200,6400,32800,1,1,1,0.4634146341463415,0.34146341463414637,0.1951219512195122,3,3,4,4,0,"[""3077079169"", ""4104549924"", ""2226497419"", ""1396247347"", ""1282141666"", ""876563814"", ""3074274290"", ""2447176615"", ""2519598785""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
3200,1600,10400,15200,0,0,1,0.21052631578947367,0.10526315789473684,0.6842105263157895,4,4,4,4,1,"[""3331811235"", ""3077079169"", ""668299740"", ""876563814"", ""787198704"", ""968099481"", ""3005970438""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
8800,4800,800,14400,1,1,0,0.6111111111111112,0.3333333333333333,0.05555555555555555,0,0,0,0,0,"[""2064029594"", ""4104549924"", ""668299740"", ""2356412290"", ""2739107182"", ""876563814"", ""1672893796"", ""3970837787"", ""2829638276"", ""3776945997""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
5600,7200,1600,14400,1,1,0,0.3888888888888889,0.5,0.1111111111111111,4,3,4,4,1,"[""3077079169"", ""395867183"", ""989206714"", ""3491236900"", ""3399065363"", ""968099481"", ""1998374645""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
6400,800,4000,11200,1,0,0,0.5714285714285714,0.07142857142857142,0.35714285714285715,3,4,4,4,1,"[""2739107182"", ""2152872419"", ""1672893796"", ""2121044373"", ""3776945997""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
7200,1600,2400,11200,1,0,0,0.6428571428571429,0.14285714285714285,0.21428571428571427,3,3,4,4,0,"[""2064029594"", ""3077079169"", ""3331811235"", ""690458959"", ""499683006"", ""7409189"", ""3776945997""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
12000,6400,1600,20000,1,1,0,0.6,0.32,0.08,4,4,4,3,1,"[""1396247347"", ""4075861416"", ""1548066885"", ""2064029594"", ""876563814"", ""499683006"", ""1414025773"", ""7409189""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
12800,8800,8800,30400,1,1,1,0.42105263157894735,0.2894736842105263,0.2894736842105263,4,3,4,4,0,"[""2152872419"", ""2064029594"", ""2226497419"", ""3331811235"", ""3633614685"", ""499683006"", ""951866250"", ""619484391"", ""1193964439"", ""968099481"", ""7409189""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
2400,1600,15200,19200,0,0,1,0.125,0.08333333333333333,0.7916666666666666,3,4,4,4,0,"[""2356412290"", ""668299740"", ""499683006"", ""3776945997"", ""7409189"", ""3919289022"", ""2519598785""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
4800,6400,1600,12800,1,1,0,0.375,0.5,0.125,3,3,4,4,1,"[""3077079169"", ""1009965641"", ""2356412290"", ""3331811235"", ""2163598980"", ""1644605047"", ""3074274290"", ""7409189""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
11200,6400,1600,19200,1,1,0,0.5833333333333334,0.3333333333333333,0.08333333333333333,3,3,4,4,0,"[""2152872419"", ""2064029594"", ""2226497419"", ""1414025773"", ""3074274290"", ""3970837787"", ""3776945997"", ""968099481""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
8000,5600,6400,20000,1,1,1,0.4,0.28,0.32,4,4,4,4,0,"[""3331811235"", ""2739107182"", ""2152872419"", ""3074274290"", ""1414025773"", ""3399065363"", ""2519598785""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
4000,8800,1600,14400,0,1,0,0.2777777777777778,0.6111111111111112,0.1111111111111111,4,4,4,4,1,"[""1009965641"", ""2739107182"", ""3399065363"", ""865846625"", ""3970837787"", ""7409189""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
4000,6400,800,11200,0,1,0,0.35714285714285715,0.5714285714285714,0.07142857142857142,3,4,4,4,0,"[""2739107182"", ""3077079169"", ""3399065363"", ""3970837787"", ""1414025773"", ""2829638276"", ""1998374645""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
9600,2400,1600,13600,1,0,0,0.7058823529411765,0.17647058823529413,0.11764705882352941,3,4,4,4,0,"[""2480592370"", ""2678489038"", ""2447176615"", ""3399065363"", ""3776945997"", ""968099481""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
4000,6400,10400,20800,0,1,1,0.19230769230769232,0.3076923076923077,0.5,3,4,4,4,0,"[""989206714"", ""668299740"", ""3074274290"", ""1672893796"", ""3399065363"", ""1414025773"", ""3005970438"", ""787198704"", ""968099481""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
18400,7200,15200,40800,1,1,1,0.45098039215686275,0.17647058823529413,0.37254901960784315,3,3,4,4,0,"[""1396247347"", ""4104549924"", ""2152872419"", ""3077079169"", ""2226497419"", ""3399065363"", ""2447176615"", ""1414025773"", ""3970837787"", ""2519598785"", ""3919289022"", ""7409189"", ""3776945997""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
4000,3200,800,8000,0,0,0,0.5,0.4,0.1,4,4,4,4,0,"[""2739107182"", ""3077079169"", ""334300056"", ""3776945997""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
11200,8000,12000,31200,1,1,1,0.358974358974359,0.2564102564102564,0.38461538461538464,1,4,3,3,1,"[""2226497419"", ""2152872419"", ""2064029594"", ""3399065363"", ""865846625"", ""4139877411"", ""3776945997"", ""787198704"", ""7409189"", ""3919289022""]","[537527508, 537527508, 2048438176, 1796564033, 537527508, 775377419, 775377419, 775377419, 1796564033, 1796564033, 1796564033, 775377419, 2048438176, 2048438176, 2048438176, 537527508]"
