spent_weapon,spent_vitality,spent_spirit,spent_total,spike_weapon,spike_vitality,spike_spirit,ratio_weapon,ratio_vitality,ratio_spirit,skill_0_lvl,skill_1_lvl,skill_2_lvl,ult_lvl,early_ult,_items_sequence,_ability_sequence
2400,6400,6400,15200,0,1,1,0.15789473684210525,0.42105263157894735,0.42105263157894735,3,3,1,2,0,"[""1009965641"", ""4104549924"", ""3270001687"", ""499683006"", ""4139877411"", ""3633614685"", ""380806748"", ""1976391348"", ""1193964439""]","[1976701714, 1976701714, 3747867012, 3747867012, 938149308, 2954330093, 3747867012, 1976701714, 1976701714, 2954330093, 2954330093, 2954330093, 938149308, 938149308, 938149308, 3747867012]"
8000,5600,8800,22400,1,1,1,0.35714285714285715,0.25,0.39285714285714285,4,4,4,4,0,"[""1342610602"", ""4104549924"", ""1009965641"", ""709540378"", ""395867183"", ""3270001687"", ""3633614685"", ""1710079648"", ""4139877411"", ""3261353684"", ""2717651715"", ""754480263"", ""1976391348""]","[1976701714, 1976701714, 3747867012, 3747867012, 938149308, 2954330093, 3747867012, 1976701714, 1976701714, 2954330093, 2954330093, 2954330093, 938149308, 938149308, 938149308, 3747867012]"
8800,800,800,10400,1,0,0,0.8461538461538461,0.07692307692307693,0.07692307692307693,4,4,4,4,0,"[""2095565695"", ""3862866912"", ""4104549924"", ""709540378"", ""1710079648"", ""754480263""]","[1976701714, 1976701714, 3747867012, 3747867012, 938149308, 2954330093, 3747867012, 1976701714, 1976701714, 2954330093, 2954330093, 2954330093, 938149308, 938149308, 938149308, 3747867012]"
7200,9600,9600,26400,1,1,1,0.2727272727272727,0.36363636363636365,0.36363636363636365,4,3,4,4,1,"[""1009965641"", ""709540378"", ""1932939246"", ""3970837787"", ""3270001687"", ""1644605047"", ""3731635960"", ""1193964439"", ""915014646""]","[1976701714, 1976701714, 3747867012, 3747867012, 938149308, 2954330093, 3747867012, 1976701714, 1976701714, 2954330093, 2954330093, 2954330093, 938149308, 938149308, 938149308, 3747867012]"
10400,3200,2400,16000,1,0,0,0.65,0.2,0.15,4,4,4,4,0,"[""668299740"", ""365620721"", ""4104549924"", ""1770441818"", ""3270001687"", ""1976391348"", ""1998374645""]","[1976701714, 1976701714, 3747867012, 3747867012, 938149308, 2954330093, 3747867012, 1976701714, 1976701714, 2954330093, 2954330093, 2954330093, 938149308, 938149308, 938149308, 3747867012]"
12800,5600,5600,24000,1,1,1,0.5333333333333333,0.23333333333333334,0.23333333333333334,4,4,4,4,0,"[""668299740"", ""1932939246"", ""1009965641"", ""3884003354"", ""3977876567"", ""2829638276"", ""1644605047"", ""334300056"", ""1976391348"", ""754480263"", ""1193964439""]","[1976701714, 1976701714, 3747867012, 3747867012, 938149308, 2954330093, 3747867012, 1976701714, 1976701714, 2954330093, 2954330093, 2954330093, 938149308, 938149308, 938149308, 3747867012]"
4000,1600,4000,9600,0,0,0,0.4166666666666667,0.16666666666666666,0.4166666666666667,4,3,2,4,0,"[""668299740"", ""709540378"", ""1644605047"", ""1998374645"", ""2717651715""]","[1976701714, 1976701714, 3747867012, 3747867012, 938149308, 2954330093, 3747867012, 1976701714, 1976701714, 2954330093, 2954330093, 2954330093, 938149308, 938149308, 938149308, 3747867012]"
7200,3200,1600,12000,1,0,0,0.6,0.26666666666666666,0.13333333333333333,4,4,4,4,0,"[""709540378"", ""4104549924"", ""668299740"", ""395867183"", ""3270001687"", ""1976391348""]","[1976701714, 1976701714, 3747867012, 3747867012, 938149308, 2954330093, 3747867012, 1976701714, 1976701714, 2954330093, 2954330093, 2954330093, 938149308, 938149308, 938149308, 3747867012]"
9600,7200,6400,23200,1,1,1,0.41379310344827586,0.3103448275862069,0.27586206896551724,4,3,3,4,0,"[""668299740"", ""2095565695"", ""1009965641"", ""709540378"", ""4104549924"", ""1710079648"", ""334300056"", ""600033864"", ""3261353684"", ""2121044373""]","[1976701714, 1976701714, 3747867012, 3747867012, 938149308, 2954330093, 3747867012, 1976701714, 1976701714, 2954330093, 2954330093, 2954330093, 938149308, 938149308, 938149308, 3747867012]"
10400,800,1600,12800,1,0,0,0.8125,0.0625,0.125,4,3,4,4,0,"[""4104549924"", ""3977876567"", ""2481177645"", ""1009965641"", ""709540378"", ""4139877411"", ""1976391348""]","[1976701714, 1976701714, 3747867012, 3747867012, 938149308, 2954330093, 3747867012, 1976701714, 1976701714, 2954330093, 2954330093, 2954330093, 938149308, 938149308, 938149308, 3747867012]"
