spent_weapon,spent_vitality,spent_spirit,spent_total,spike_weapon,spike_vitality,spike_spirit,ratio_weapon,ratio_vitality,ratio_spirit,skill_0_lvl,skill_1_lvl,skill_2_lvl,ult_lvl,early_ult,_items_sequence,_ability_sequence
2400,9600,8800,20800,0,1,1,0.11538461538461539,0.46153846153846156,0.4230769230769231,4,4,4,4,1,"[""1763073141"", ""3077079169"", ""3399065363"", ""865846625"", ""3970837787"", ""3633614685"", ""84321454"", ""968099481"", ""3919289022""]","[1999680326, 1999680326, 4147641675, 1842576017, 1999680326, 2981692841, 2981692841, 1999680326, 1842576017, 1842576017, 4147641675, 1842576017, 4147641675, 2981692841, 4147641675, 2981692841]"
8000,6400,10400,24800,1,1,1,0.3225806451612903,0.25806451612903225,0.41935483870967744,4,4,4,4,0,"[""3077079169"", ""1763073141"", ""811521119"", ""2064029594"", ""668299740"", ""2829638276"", ""3633614685"", ""1235347618"", ""3731635960"", ""3919289022"", ""2971868509"", ""84321454"", ""968099481""]","[1999680326, 1999680326, 4147641675, 1842576017, 1999680326, 2981692841, 2981692841, 1999680326, 1842576017, 1842576017, 4147641675, 1842576017, 4147641675, 2981692841, 4147641675, 2981692841]"
10400,3200,1600,15200,1,0,0,0.6842105263157895,0.21052631578947367,0.10526315789473684,4,4,4,4,0,"[""2407033488"", ""2480592370"", ""4104549924"", ""1009965641"", ""1378931225"", ""84321454""]","[1999680326, 1999680326, 4147641675, 1842576017, 1999680326, 2981692841, 2981692841, 1999680326, 1842576017, 1842576017, 4147641675, 1842576017, 4147641675, 2981692841, 4147641675, 2981692841]"
6400,11200,2400,20000,1,1,0,0.32,0.56,0.12,4,4,4,3,0,"[""1763073141"", ""811521119"", ""2407033488"", ""3633614685"", ""3399065363"", ""951866250"", ""3585132399"", ""968099481"", ""84321454""]","[1999680326, 1999680326, 4147641675, 1842576017, 1999680326, 2981692841, 2981692841, 1999680326, 1842576017, 1842576017, 4147641675, 1842576017, 4147641675, 2981692841, 4147641675, 2981692841]"
12800,800,4000,17600,1,0,0,0.7272727272727273,0.045454545454545456,0.22727272727272727,4,4,4,4,0,"[""811521119"", ""381961617"", ""2480592370"", ""2407033488"", ""3399065363"", ""968099481"", ""1292979587""]","[1999680326, 1999680326, 4147641675, 1842576017, 1999680326, 2981692841, 2981692841, 1999680326, 1842576017, 1842576017, 4147641675, 1842576017, 4147641675, 2981692841, 4147641675, 2981692841]"
14400,9600,8800,32800,1,1,1,0.43902439024390244,0.2926829268292683,0.2682926829268293,4,4,4,4,1,"[""709540378"", ""2407033488"", ""1763073141"", ""2064029594"", ""2480592370"", ""2447176615"", ""951866250"", ""499683006"", ""968099481"", ""84321454"", ""3919289022""]","[1999680326, 1999680326, 4147641675, 1842576017, 1999680326, 2981692841, 2981692841, 1999680326, 1842576017, 1842576017, 4147641675, 1842576017, 4147641675, 2981692841, 4147641675, 2981692841]"
16800,1600,3200,21600,1,0,0,0.7777777777777778,0.07407407407407407,0.14814814814814814,4,4,4,4,0,"[""1009965641"", ""2407033488"", ""2064029594"", ""2480592370"", ""2226497419"", ""1644605047"", ""84321454"", ""7409189""]","[1999680326, 1999680326, 4147641675, 1842576017, 1999680326, 2981692841, 2981692841, 1999680326, 1842576017, 1842576017, 4147641675, 1842576017, 4147641675, 2981692841, 4147641675, 2981692841]"
19200,4000,5600,28800,1,0,1,0.6666666666666666,0.1388888888888889,0.19444444444444445,4,4,4,4,0,"[""2480592370"", ""1763073141"", ""710436191"", ""1770441818"", ""709540378"", ""1672893796"", ""1414025773"", ""84321454"", ""1292979587"", ""968099481""]","[1999680326, 1999680326, 4147641675, 1842576017, 1999680326, 2981692841, 2981692841, 1999680326, 1842576017, 1842576017, 4147641675, 1842576017, 4147641675, 2981692841, 4147641675, 2981692841]"
11200,1600,10400,23200,1,0,1,0.4827586206896552,0.06896551724137931,0.4482758620689655,4,4,4,4,0,"[""4104549924"", ""4053935515"", ""2480592370"", ""876563814"", ""2971868509"", ""2519598785"", ""968099481"", ""84321454""]","[1999680326, 1999680326, 4147641675, 1842576017, 1999680326, 2981692841, 2981692841, 1999680326, 1842576017, 1842576017, 4147641675, 1842576017, 4147641675, 2981692841, 4147641675, 2981692841]"
18400,7200,800,26400,1,1,0,0.696969696969697,0.2727272727272727,0.030303030303030304,4,3,4,3,0,"[""3884003354"", ""1763073141"", ""811521119"", ""1009965641"", ""2221211450"", ""3731635960"", ""3633614685"", ""3585132399"", ""968099481""]","[1999680326, 1999680326, 4147641675, 1842576017, 1999680326, 2981692841, 2981692841, 1999680326, 1842576017, 1842576017, 4147641675, 1842576017, 4147641675, 2981692841, 4147641675, 2981692841]"
2400,9600,1600,13600,0,1,0,0.17647058823529413,0.7058823529411765,0.11764705882352941,4,4,4,4,0,"[""2407033488"", ""668299740"", ""1644605047"", ""499683006"", ""1955841979"", ""84321454""]","[1999680326, 1999680326, 4147641675, 1842576017, 1999680326, 2981692841, 2981692841, 1999680326, 1842576017, 1842576017, 4147641675, 1842576017, 4147641675, 2981692841, 4147641675, 2981692841]"
14400,8000,4000,26400,1,1,0,0.5454545454545454,0.30303030303030304,0.15151515151515152,4,4,4,4,0,"[""2221211450"", ""710436191"", ""4104549924"", ""1235347618"", ""2447176615"", ""499683006"", ""3731635960"", ""968099481"", ""2971868509"", ""7409189""]","[1999680326, 1999680326, 4147641675, 1842576017, 1999680326, 2981692841, 2981692841, 1999680326, 1842576017, 1842576017, 4147641675, 1842576017, 4147641675, 2981692841, 4147641675, 2981692841]"
5600,9600,12800,28000,1,1,1,0.2,0.34285714285714286,0.45714285714285713,4,4,4,4,0,"[""4104549924"", ""2064029594"", ""1763073141"", ""1009965641"", ""951866250"", ""2163598980"", ""7409189"", ""3919289022"", ""84321454"", ""1292979587""]","[1999680326, 1999680326, 4147641675, 1842576017, 1999680326, 2981692841, 2981692841, 1999680326, 1842576017, 1842576017, 4147641675, 1842576017, 4147641675, 2981692841, 4147641675, 2981692841]"
