spent_weapon,spent_vitality,spent_spirit,spent_total,spike_weapon,spike_vitality,spike_spirit,ratio_weapon,ratio_vitality,ratio_spirit,skill_0_lvl,skill_1_lvl,skill_2_lvl,ult_lvl,early_ult,_items_sequence,_ability_sequence
4800,4800,8800,18400,1,1,1,0.2608695652173913,0.2608695652173913,0.4782608695652174,4,4,2,3,0,"[""2064029594"", ""3791587546"", ""3074274290"", ""499683006"", ""4139877411"", ""3399065363"", ""84321454"", ""968099481"", ""3919289022""]","[2656490109, 2656490109, 2751689917, 1656913918, 2656490109, 2702908623, 2656490109, 1656913918, 1656913918, 1656913918, 2751689917, 2702908623, 2702908623, 2702908623, 2751689917, 2751689917]"
8800,9600,12800,31200,1,1,1,0.28205128205128205,0.3076923076923077,0.41025641025641024,4,4,4,4,0,"[""3791587546"", ""2064029594"", ""1009965641"", ""2407033488"", ""393974127"", ""2447176615"", ""3399065363"", ""1282141666"", ""4139877411"", ""3919289022"", ""2717651715"", ""84321454"", ""1102081447""]","[2656490109, 2656490109, 2751689917, 1656913918, 2656490109, 2702908623, 2656490109, 1656913918, 1656913918, 1656913918, 2751689917, 2702908623, 2702908623, 2702908623, 2751689917, 2751689917]"
6400,6400,9600,22400,1,1,1,0.2857142857142857,0.2857142857142857,0.42857142857142855,4,2,4,4,0,"[""3077079169"", ""3977876567"", ""1414319208"", ""1342610602"", ""2407781327"", ""84321454"", ""1150006784"", ""1292979587"", ""1254091416""]","[2656490109, 2656490109, 2751689917, 1656913918, 2656490109, 2702908623, 2656490109, 1656913918, 1656913918, 1656913918, 2751689917, 2702908623, 2702908623, 2702908623, 2751689917, 2751689917]"
4000,9600,9600,23200,0,1,1,0.1724137931034483,0.41379310344827586,0.41379310344827586,4,4,4,4,1,"[""3077079169"", ""1414319208"", ""3491236900"", ""1672893796"", ""1235347618"", ""2829638276"", ""84321454"", ""7409189"", ""2717651715"", ""2121044373""]","[2656490109, 2656490109, 2751689917, 1656913918, 2656490109, 2702908623, 2656490109, 1656913918, 1656913918, 1656913918, 2751689917, 2702908623, 2702908623, 2702908623, 2751689917, 2751689917]"
11200,10400,3200,24800,1,1,0,0.45161290322580644,0.41935483870967744,0.12903225806451613,4,4,3,1,0,"[""2064029594"", ""2480592370"", ""709540378"", ""499683006"", ""2829638276"", ""2407781327"", ""2447176615"", ""1292979587""]","[2656490109, 2656490109, 2751689917, 1656913918, 2656490109, 2702908623, 2656490109, 1656913918, 1656913918, 1656913918, 2751689917, 2702908623, 2702908623, 2702908623, 2751689917, 2751689917]"
8800,2400,3200,14400,1,0,0,0.6111111111111112,0.16666666666666666,0.2222222222222222,4,4,4,3,0,"[""2407033488"", ""1414319208"", ""393974127"", ""2064029594"", ""1009965641"", ""3633614685"", ""1235347618"", ""84321454"", ""1150006784""]","[2656490109, 2656490109, 2751689917, 1656913918, 2656490109, 2702908623, 2656490109, 1656913918, 1656913918, 1656913918, 2751689917, 2702908623, 2702908623, 2702908623, 2751689917, 2751689917]"
2400,13600,3200,19200,0,1,0,0.125,0.7083333333333334,0.16666666666666666,4,4,3,4,0,"[""3403085434"", ""3077079169"", ""1955841979"", ""3633614685"", ""1055679805"", ""84321454"", ""1813726886""]","[2656490109, 2656490109, 2751689917, 1656913918, 2656490109, 2702908623, 2656490109, 1656913918, 1656913918, 1656913918, 2751689917, 2702908623, 2702908623, 2702908623, 2751689917, 2751689917]"
9600,8000,3200,20800,1,1,0,0.46153846153846156,0.38461538461538464,0.15384615384615385,4,4,4,4,0,"[""709540378"", ""2221211450"", ""3074274290"", ""2163598980"", ""1644605047"", ""1235347618"", ""1292979587""]","[2656490109, 2656490109, 2751689917, 1656913918, 2656490109, 2702908623, 2656490109, 1656913918, 1656913918, 1656913918, 2751689917, 2702908623, 2702908623, 2702908623, 2751689917, 2751689917]"
8000,800,2400,11200,1,0,0,0.7142857142857143,0.07142857142857142,0.21428571428571427,4,4,4,4,0,"[""393974127"", ""3977876567"", ""3077079169"", ""1009965641"", ""3791587546"", ""3399065363"", ""968099481"", ""84321454""]","[2656490109, 2656490109, 2751689917, 1656913918, 2656490109, 2702908623, 2656490109, 1656913918, 1656913918, 1656913918, 2751689917, 2702908623, 2702908623, 2702908623, 2751689917, 2751689917]"
7200,8800,5600,21600,1,1,1,0.3333333333333333,0.4074074074074074,0.25925925925925924,4,4,4,4,0,"[""3977876567"", ""2064029594"", ""1009965641"", ""1414319208"", ""1055679805"", ""3633614685"", ""3399065363"", ""1710079648"", ""1292979587"", ""84321454"", ""754480263""]","[2656490109, 2656490109, 2751689917, 1656913918, 2656490109, 2702908623, 2656490109, 1656913918, 1656913918, 1656913918, 2751689917, 2702908623, 2702908623, 2702908623, 2751689917, 2751689917]"
6400,3200,12000,21600,1,0,1,0.2962962962962963,0.14814814814814814,0.5555555555555556,4,4,4,3,0,"[""1414319208"", ""709540378"", ""499683006"", ""2447176615"", ""3919289022"", ""1292979587"", ""754480263"", ""7409189""]","[2656490109, 2656490109, 2751689917, 1656913918, 2656490109, 2702908623, 2656490109, 1656913918, 1656913918, 1656913918, 2751689917, 2702908623, 2702908623, 2702908623, 2751689917, 2751689917]"
4800,6400,6400,17600,1,1,1,0.2727272727272727,0.36363636363636365,0.36363636363636365,4,4,4,4,1,"[""2095565695"", ""3403085434"", ""2407781327"", ""1152158042""]","[2656490109, 2656490109, 2751689917, 1656913918, 2656490109, 2702908623, 2656490109, 1656913918, 1656913918, 1656913918, 2751689917, 2702908623, 2702908623, 2702908623, 2751689917, 2751689917]"
8000,11200,9600,28800,1,1,1,0.2777777777777778,0.3888888888888889,0.3333333333333333,4,4,4,4,0,"[""2064029594"", ""1113837674"", ""1250307611"", ""2447176615"", ""2163598980"", ""3261353684"", ""3919289022""]","[2656490109, 2656490109, 2751689917, 1656913918, 2656490109, 2702908623, 2656490109, 1656913918, 1656913918, 1656913918, 2751689917, 2702908623, 2702908623, 2702908623, 2751689917, 2751689917]"
3200,3200,14400,20800,0,0,1,0.15384615384615385,0.15384615384615385,0.6923076923076923,4,3,4,4,0,"[""2407033488"", ""393974127"", ""1235347618"", ""2829638276"", ""3399065363"", ""2617435668"", ""84321454"", ""3919289022""]","[2656490109, 2656490109, 2751689917, 1656913918, 2656490109, 2702908623, 2656490109, 1656913918, 1656913918, 1656913918, 2751689917, 2702908623, 2702908623, 2702908623, 2751689917, 2751689917]"
3200,800,7200,11200,0,0,1,0.2857142857142857,0.07142857142857142,0.6428571428571429,4,4,4,3,0,"[""2407033488"", ""2064029594"", ""3633614685"", ""754480263"", ""3919289022""]","[2656490109, 2656490109, 2751689917, 1656913918, 2656490109, 2702908623, 2656490109, 1656913918, 1656913918, 1656913918, 2751689917, 2702908623, 2702908623, 2702908623, 2751689917, 2751689917]"
13600,4000,7200,24800,1,0,1,0.5483870967741935,0.16129032258064516,0.2903225806451613,4,4,3,4,0,"[""2221211450"", ""1009965641"", ""3977876567"", ""989206714"", ""393974127"", ""4139877411"", ""3731635960"", ""2462046703"", ""3919289022""]","[2656490109, 2656490109, 2751689917, 1656913918, 2656490109, 2702908623, 2656490109, 1656913918, 1656913918, 1656913918, 2751689917, 2702908623, 2702908623, 2702908623, 2751689917, 2751689917]"
4800,4000,8800,17600,1,0,1,0.2727272727272727,0.22727272727272727,0.5,4,4,3,4,0,"[""1414319208"", ""3403085434"", ""2829638276"", ""1644605047"", ""499683006"", ""84321454"", ""3919289022"", ""754480263""]","[2656490109, 2656490109, 2751689917, 1656913918, 2656490109, 2702908623, 2656490109, 1656913918, 1656913918, 1656913918, 2751689917, 2702908623, 2702908623, 2702908623, 2751689917, 2751689917]"
10400,1600,3200,15200,1,0,0,0.6842105263157895,0.10526315789473684,0.21052631578947367,0,0,0,0,0,"[""709540378"", ""1009965641"", ""2678489038"", ""3791587546"", ""1235347618"", ""2717651715""]","[2656490109, 2656490109, 2751689917, 1656913918, 2656490109, 2702908623, 2656490109, 1656913918, 1656913918, 1656913918, 2751689917, 2702908623, 2702908623, 2702908623, 2751689917, 2751689917]"
5600,10400,4800,20800,1,1,1,0.2692307692307692,0.5,0.23076923076923078,4,4,4,4,0,"[""709540378"", ""381961617"", ""1009965641"", ""865846625"", ""2829638276"", ""600033864"", ""1813726886"", ""1292979587""]","[2656490109, 2656490109, 2751689917, 1656913918, 2656490109, 2702908623, 2656490109, 1656913918, 1656913918, 1656913918, 2751689917, 2702908623, 2702908623, 2702908623, 2751689917, 2751689917]"
8800,8800,12800,30400,1,1,1,0.2894736842105263,0.2894736842105263,0.42105263157894735,4,4,3,1,0,"[""3791587546"", ""3077079169"", ""690458959"", ""393974127"", ""1710079648"", ""1235347618"", ""2407781327"", ""1292979587"", ""3919289022"", ""380806748"", ""7409189""]","[2656490109, 2656490109, 2751689917, 1656913918, 2656490109, 2702908623, 2656490109, 1656913918, 1656913918, 1656913918, 2751689917, 2702908623, 2702908623, 2702908623, 2751689917, 2751689917]"
4800,5600,1600,12000,1,1,0,0.4,0.4666666666666667,0.13333333333333333,4,4,3,4,0,"[""393974127"", ""709540378"", ""2163598980"", ""4139877411"", ""2447176615"", ""2951612397""]","[2656490109, 2656490109, 2751689917, 1656913918, 2656490109, 2702908623, 2656490109, 1656913918, 1656913918, 1656913918, 2751689917, 2702908623, 2702908623, 2702908623, 2751689917, 2751689917]"
19200,10400,10400,40000,1,1,1,0.48,0.26,0.26,4,4,3,4,0,"[""3403085434"", ""393974127"", ""3791587546"", ""1396247347"", ""2221211450"", ""3633614685"", ""2447176615"", ""2037039379"", ""1644605047"", ""968099481"", ""1292979587"", ""3919289022""]","[2656490109, 2656490109, 2751689917, 1656913918, 2656490109, 2702908623, 2656490109, 1656913918, 1656913918, 1656913918, 2751689917, 2702908623, 2702908623, 2702908623, 2751689917, 2751689917]"
6400,1600,4800,12800,1,0,1,0.5,0.125,0.375,4,4,4,3,0,"[""1009965641"", ""3077079169"", ""3791587546"", ""393974127"", ""499683006"", ""84321454"", ""3261353684""]","[2656490109, 2656490109, 2751689917, 1656913918, 2656490109, 2702908623, 2656490109, 1656913918, 1656913918, 1656913918, 2751689917, 2702908623, 2702908623, 2702908623, 2751689917, 2751689917]"
14400,9600,3200,27200,1,1,0,0.5294117647058824,0.35294117647058826,0.11764705882352941,4,4,4,4,0,"[""709540378"", ""3977876567"", ""989206714"", ""1396247347"", ""499683006"", ""1235347618"", ""1055679805"", ""1292979587""]","[2656490109, 2656490109, 2751689917, 1656913918, 2656490109, 2702908623, 2656490109, 1656913918, 1656913918, 1656913918, 2751689917, 2702908623, 2702908623, 2702908623, 2751689917, 2751689917]"
