spent_weapon,spent_vitality,spent_spirit,spent_total,spike_weapon,spike_vitality,spike_spirit,ratio_weapon,ratio_vitality,ratio_spirit,skill_0_lvl,skill_1_lvl,skill_2_lvl,ult_lvl,early_ult,_items_sequence,_ability_sequence
2400,5600,4000,12000,0,1,0,0.2,0.4666666666666667,0.3333333333333333,4,3,4,4,0,"[""395867183"", ""3862866912"", ""2829638276"", ""1047818222"", ""3970837787"", ""3074274290"", ""380806748"", ""1976391348"", ""968099481""]","[2366960452, 2566573207, 2566573207, 3255651252, 2566573207, 3319782965, 3255651252, 3255651252, 3255651252, 2366960452, 2366960452, 2366960452, 3319782965, 3319782965, 3319782965, 2566573207]"
8800,9600,6400,24800,1,1,1,0.3548387096774194,0.3870967741935484,0.25806451612903225,4,4,4,4,0,"[""1144549437"", ""3791587546"", ""395867183"", ""393974127"", ""1009965641"", ""3399065363"", ""2603935618"", ""3028234315"", ""1672893796"", ""3577481646""]","[2366960452, 2566573207, 2566573207, 3255651252, 2566573207, 3319782965, 3255651252, 3255651252, 3255651252, 2366960452, 2366960452, 2366960452, 3319782965, 3319782965, 3319782965, 2566573207]"
7200,4800,2400,14400,1,1,0,0.5,0.3333333333333333,0.16666666666666666,4,4,4,4,0,"[""98582110"", ""395867183"", ""3862866912"", ""4075861416"", ""1644605047"", ""1672893796"", ""2447176615"", ""1437614329"", ""1976391348"", ""465043967""]","[2366960452, 2566573207, 2566573207, 3255651252, 2566573207, 3319782965, 3255651252, 3255651252, 3255651252, 2366960452, 2366960452, 2366960452, 3319782965, 3319782965, 3319782965, 2566573207]"
2400,5600,8000,16000,0,1,1,0.15,0.35,0.5,4,3,4,4,0,"[""395867183"", ""3862866912"", ""1644605047"", ""3399065363"", ""3140772621"", ""968099481"", ""465043967"", ""2519598785""]","[2366960452, 2566573207, 2566573207, 3255651252, 2566573207, 3319782965, 3255651252, 3255651252, 3255651252, 2366960452, 2366960452, 2366960452, 3319782965, 3319782965, 3319782965, 2566573207]"
8000,3200,11200,22400,1,0,1,0.35714285714285715,0.14285714285714285,0.5,3,3,4,4,0,"[""26002154"", ""3077079169"", ""1144549437"", ""1342610602"", ""2739107182"", ""2163598980"", ""395944548"", ""380806748"", ""2417568017""]","[2366960452, 2566573207, 2566573207, 3255651252, 2566573207, 3319782965, 3255651252, 3255651252, 3255651252, 2366960452, 2366960452, 2366960452, 3319782965, 3319782965, 3319782965, 2566573207]"
7200,12000,4000,23200,1,1,0,0.3103448275862069,0.5172413793103449,0.1724137931034483,4,4,4,4,0,"[""1144549437"", ""2095565695"", ""1009965641"", ""395867183"", ""805079544"", ""2163598980"", ""1437614329"", ""1955841979"", ""3261353684"", ""465043967""]","[2366960452, 2566573207, 2566573207, 3255651252, 2566573207, 3319782965, 3255651252, 3255651252, 3255651252, 2366960452, 2366960452, 2366960452, 3319782965, 3319782965, 3319782965, 2566573207]"
6400,8000,12800,27200,1,1,1,0.23529411764705882,0.29411764705882354,0.47058823529411764,4,4,4,4,0,"[""395867183"", ""1144549437"", ""1009965641"", ""3077079169"", ""98582110"", ""3361075077"", ""1427630806"", ""343572757"", ""2519598785""]","[2366960452, 2566573207, 2566573207, 3255651252, 2566573207, 3319782965, 3255651252, 3255651252, 3255651252, 2366960452, 2366960452, 2366960452, 3319782965, 3319782965, 3319782965, 2566573207]"
3200,6400,3200,12800,0,1,0,0.25,0.5,0.25,3,4,4,4,0,"[""98582110"", ""395867183"", ""2829638276"", ""2163598980"", ""1672893796"", ""1644605047"", ""2121044373""]","[2366960452, 2566573207, 2566573207, 3255651252, 2566573207, 3319782965, 3255651252, 3255651252, 3255651252, 2366960452, 2366960452, 2366960452, 3319782965, 3319782965, 3319782965, 2566573207]"
8800,1600,2400,12800,1,0,0,0.6875,0.125,0.1875,4,4,4,4,0,"[""98582110"", ""3862866912"", ""1144549437"", ""395867183"", ""4075861416"", ""3074274290"", ""1976391348"", ""465043967""]","[2366960452, 2566573207, 2566573207, 3255651252, 2566573207, 3319782965, 3255651252, 3255651252, 3255651252, 2366960452, 2366960452, 2366960452, 3319782965, 3319782965, 3319782965, 2566573207]"
7200,8000,800,16000,1,1,0,0.45,0.5,0.05,4,3,4,1,0,"[""3862866912"", ""395867183"", ""98582110"", ""1414319208"", ""3399065363"", ""3028234315"", ""2829638276"", ""968099481""]","[2366960452, 2566573207, 2566573207, 3255651252, 2566573207, 3319782965, 3255651252, 3255651252, 3255651252, 2366960452, 2366960452, 2366960452, 3319782965, 3319782965, 3319782965, 2566573207]"
