spent_weapon,spent_vitality,spent_spirit,spent_total,spike_weapon,spike_vitality,spike_spirit,ratio_weapon,ratio_vitality,ratio_spirit,skill_0_lvl,skill_1_lvl,skill_2_lvl,ult_lvl,early_ult,_items_sequence,_ability_sequence
4000,12000,6400,22400,0,1,1,0.17857142857142858,0.5357142857142857,0.2857142857142857,4,4,4,4,0,"[""1009965641"", ""2481177645"", ""3028234315"", ""1252627263"", ""4139877411"", ""3361075077"", ""395944548"", ""1150006784"", ""1102081447""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
10400,4800,7200,22400,1,1,1,0.4642857142857143,0.21428571428571427,0.32142857142857145,4,4,4,4,0,"[""1798666702"", ""2481177645"", ""1342610602"", ""393974127"", ""26002154"", ""2829638276"", ""3361075077"", ""2447176615"", ""4139877411"", ""3190916303"", ""2951612397"", ""465043967"", ""1150006784""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
12800,1600,800,15200,1,0,0,0.8421052631578947,0.10526315789473684,0.05263157894736842,4,4,4,3,0,"[""2064029594"", ""2095565695"", ""3977876567"", ""800008313"", ""2566692615"", ""465043967""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
5600,8800,8000,22400,1,1,1,0.25,0.39285714285714285,0.35714285714285715,4,4,3,4,0,"[""1342610602"", ""393974127"", ""1798666702"", ""3731635960"", ""3074274290"", ""2163598980"", ""3399065363"", ""1150006784"", ""915014646""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
9600,1600,3200,14400,1,0,0,0.6666666666666666,0.1111111111111111,0.2222222222222222,4,4,4,3,0,"[""98582110"", ""26002154"", ""2095565695"", ""1798666702"", ""3074274290"", ""1150006784"", ""2081037738""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
12000,5600,11200,28800,1,1,1,0.4166666666666667,0.19444444444444445,0.3888888888888889,3,4,4,1,0,"[""26002154"", ""1798666702"", ""1342610602"", ""2095565695"", ""2481177645"", ""2829638276"", ""2163598980"", ""1047818222"", ""1150006784"", ""677738769"", ""3190916303""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
16800,6400,2400,25600,1,1,0,0.65625,0.25,0.09375,4,4,4,4,0,"[""709540378"", ""800008313"", ""1798666702"", ""1342610602"", ""2095565695"", ""3028234315"", ""2971868509"", ""465043967""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
5600,14400,1600,21600,1,1,0,0.25925925925925924,0.6666666666666666,0.07407407407407407,3,4,4,4,0,"[""26002154"", ""2095565695"", ""1342610602"", ""2603935618"", ""1371725689"", ""3028234315"", ""1150006784""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
9600,4000,4000,17600,1,0,0,0.5454545454545454,0.22727272727272727,0.22727272727272727,4,2,4,4,0,"[""1798666702"", ""800008313"", ""1252627263"", ""4139877411"", ""2717651715"", ""754480263""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
10400,800,12800,24000,1,0,1,0.43333333333333335,0.03333333333333333,0.5333333333333333,4,4,4,4,0,"[""2095565695"", ""1342610602"", ""395867183"", ""26002154"", ""3791587546"", ""1437614329"", ""915014646"", ""2417568017""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
7200,12000,8000,27200,1,1,1,0.2647058823529412,0.4411764705882353,0.29411764705882354,4,4,4,3,0,"[""2095565695"", ""1009965641"", ""1414319208"", ""2829638276"", ""3028234315"", ""1252627263"", ""2566692615"", ""1193964439"", ""968099481"", ""465043967"", ""395944548""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
4800,9600,6400,20800,1,1,1,0.23076923076923078,0.46153846153846156,0.3076923076923077,4,4,4,4,0,"[""26002154"", ""3791587546"", ""2407781327"", ""2829638276"", ""876563814"", ""4139877411"", ""1193964439"", ""2951612397"", ""380806748""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
12000,3200,4800,20000,1,0,1,0.6,0.16,0.24,4,4,4,3,0,"[""3791587546"", ""1342610602"", ""393974127"", ""800008313"", ""2603935618"", ""2566692615"", ""2971868509"", ""3190916303""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
2400,11200,8000,21600,0,1,1,0.1111111111111111,0.5185185185185185,0.37037037037037035,3,4,4,4,0,"[""1342610602"", ""26002154"", ""2059712766"", ""3028234315"", ""3270001687"", ""2951612397"", ""395944548"", ""3190916303""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
1600,3200,4000,8800,0,0,0,0.18181818181818182,0.36363636363636365,0.45454545454545453,4,4,4,2,0,"[""1342610602"", ""1009965641"", ""3731635960"", ""968099481"", ""3261353684""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
10400,8000,8000,26400,1,1,1,0.3939393939393939,0.30303030303030304,0.30303030303030304,3,4,4,4,0,"[""1342610602"", ""393974127"", ""3791587546"", ""26002154"", ""1798666702"", ""3970837787"", ""3270001687"", ""2603935618"", ""2059712766"", ""2951612397"", ""2717651715"", ""1150006784"", ""380806748""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
6400,9600,10400,26400,1,1,1,0.24242424242424243,0.36363636363636365,0.3939393939393939,2,4,4,3,0,"[""3791587546"", ""393974127"", ""26002154"", ""3731635960"", ""1371725689"", ""2519598785"", ""3190916303"", ""465043967""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
4800,8000,7200,20000,1,1,1,0.24,0.4,0.36,4,4,4,3,0,"[""2095565695"", ""3977876567"", ""1371725689"", ""876563814"", ""754480263"", ""395944548"", ""2717651715""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
8000,9600,14400,32000,1,1,1,0.25,0.3,0.45,4,4,4,4,0,"[""2095565695"", ""1414319208"", ""98582110"", ""3585132399"", ""3140772621"", ""3270001687"", ""395944548"", ""3190916303"", ""1150006784"", ""915014646""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
4000,8000,6400,18400,0,1,1,0.21739130434782608,0.43478260869565216,0.34782608695652173,4,4,4,3,0,"[""1798666702"", ""3862866912"", ""4139877411"", ""951866250"", ""2829638276"", ""2717651715"", ""395944548""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
11200,2400,7200,20800,1,0,1,0.5384615384615384,0.11538461538461539,0.34615384615384615,4,4,4,4,0,"[""3977876567"", ""1414319208"", ""3791587546"", ""2481177645"", ""2566692615"", ""3399065363"", ""395944548"", ""2971868509"", ""2951612397"", ""754480263""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
4000,11200,8800,24000,0,1,1,0.16666666666666666,0.4666666666666667,0.36666666666666664,4,4,4,3,0,"[""1414319208"", ""3077079169"", ""2566692615"", ""3028234315"", ""3970837787"", ""2603935618"", ""754480263"", ""2951612397"", ""3005970438""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
15200,3200,800,19200,1,0,0,0.7916666666666666,0.16666666666666666,0.041666666666666664,4,4,4,3,0,"[""1414319208"", ""26002154"", ""2481177645"", ""800008313"", ""3862866912"", ""1414025773"", ""465043967""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
6400,6400,16000,28800,1,1,1,0.2222222222222222,0.2222222222222222,0.5555555555555556,4,4,4,4,0,"[""26002154"", ""393974127"", ""1798666702"", ""2566692615"", ""2163598980"", ""2603935618"", ""3190916303"", ""3005970438"", ""343572757""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
8000,3200,1600,12800,1,0,0,0.625,0.25,0.125,4,4,4,4,0,"[""393974127"", ""1342610602"", ""1009965641"", ""26002154"", ""2095565695"", ""1252627263"", ""380806748""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
12800,8000,11200,32000,1,1,1,0.4,0.25,0.35,3,4,4,4,0,"[""26002154"", ""2481177645"", ""3791587546"", ""3977876567"", ""2095565695"", ""3399065363"", ""1371725689"", ""2829638276"", ""1193964439"", ""3005970438"", ""1150006784""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
4800,4000,9600,18400,1,0,1,0.2608695652173913,0.21739130434782608,0.5217391304347826,4,4,4,4,0,"[""393974127"", ""26002154"", ""1342610602"", ""1009965641"", ""1437614329"", ""2447176615"", ""2566692615"", ""2717651715"", ""915014646""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
10400,9600,6400,26400,1,1,1,0.3939393939393939,0.36363636363636365,0.24242424242424243,4,4,4,2,0,"[""3791587546"", ""1342610602"", ""800008313"", ""3731635960"", ""3028234315"", ""2951612397"", ""1925087134"", ""2717651715""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
4800,10400,6400,21600,1,1,1,0.2222222222222222,0.48148148148148145,0.2962962962962963,4,4,4,3,0,"[""98582110"", ""2095565695"", ""3731635960"", ""1371725689"", ""2829638276"", ""2951612397"", ""380806748"", ""3261353684""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
9600,7200,10400,27200,1,1,1,0.35294117647058826,0.2647058823529412,0.38235294117647056,4,4,4,3,0,"[""3884003354"", ""2481177645"", ""3399065363"", ""3491236900"", ""3261353684"", ""754480263"", ""2519598785""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
7200,8800,3200,19200,1,1,0,0.375,0.4583333333333333,0.16666666666666666,4,4,4,3,0,"[""26002154"", ""1342610602"", ""2064029594"", ""2481177645"", ""3491236900"", ""2603935618"", ""2829638276"", ""395944548""]","[715762406, 4072270083, 4072270083, 2824119765, 4072270083, 509856396, 4072270083, 2824119765, 2824119765, 2824119765, 715762406, 715762406, 715762406, 509856396, 509856396, 509856396]"
